country,quality,min.coverage,max.coverage,min.usability,max.usability,use.ghe
Paraguay,medium,90%,91%,61%,76%,yes
Peru,low,71%,80%,54%,61%,no
Philippines,high,97%,100%,78%,85%,yes
Poland,medium,100%,100%,68%,72%,yes
Portugal,high,100%,100%,75%,83%,yes
Puerto Rico,high,100%,100%,85%,87%,yes
Qatar,very low,54%,57%,33%,40%,no
Republic of Korea,high,100%,100%,76%,85%,yes
Republic of Moldova,high,100%,100%,93%,98%,yes
Romania,high,100%,100%,82%,88%,yes
Russian Federation,medium,100%,100%,,,no
Saint Kitts and Nevis,medium,81%,81%,49%,73%,no
Saint Lucia,high,100%,100%,65%,86%,yes
Saint Vincent and the Grenadines,high,100%,100%,75%,91%,yes
San Marino,high,100%,100%,62%,88%,no
Saudi Arabia,very low,28%,29%,12%,13%,no
Serbia,high,100%,100%,77%,84%,yes
Seychelles,medium,100%,100%,,,no
Singapore,high,96%,97%,89%,92%,yes
Slovakia,high,100%,100%,86%,93%,yes
Slovenia,high,100%,100%,86%,91%,yes
Solomon Islands,very low,,,,,no
South Africa,medium,90%,100%,59%,77%,no
Spain,high,100%,100%,83%,87%,yes
Sri Lanka,medium,100%,100%,59%,64%,yes
Suriname,medium,88%,89%,63%,74%,no
Sweden,high,100%,100%,85%,88%,yes
Switzerland,high,100%,100%,84%,88%,yes
Syrian Arab Republic,low,81%,90%,53%,53%,no
Tajikistan,low,70%,70%,53%,53%,no
Thailand,low,91%,100%,34%,65%,no
Republic of North Macedonia,medium,83%,84%,66%,70%,yes
Trinidad and Tobago,high,100%,100%,90%,92%,no
Tunisia,low,89%,90%,58%,66%,no
Turkey,medium,73%,91%,58%,71%,no
Turkmenistan,medium,100%,100%,,,no
Ukraine,medium,100%,100%,,,no
United Arab Emirates,very low,57%,58%,22%,22%,no
United Kingdom,high,100%,100%,90%,93%,yes
United States of America,high,100%,100%,87%,89%,yes
Uruguay,medium,100%,100%,76%,80%,yes
Uzbekistan,medium,66%,69%,62%,64%,no
Venezuela (Bolivarian Republic of),high,100%,100%,88%,90%,yes
