Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Bosnia and Herzegovina,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Botswana,48 ,46 , 52,,53 ,50 , 56,,60 ,57 , 64,,64 ,61 , 69,,66 ,62 , 70,,71 ,67 , 76,,75 ,71 , 80,,78 ,73 , 83,,83 ,78 , 89,,84 ,79 , 90,,87 ,82 , 93,
Brazil,54 ,26 , 79,,56 ,27 , 81,,57 ,28 , 83,,59 ,28 , 86,,60 ,29 , 88,,62 ,30 , 90,,64 ,31 , 93,,65 ,32 , 95,,67 ,32 , 97,,68 ,33 , >98,,70 ,34 , >98,
Brunei Darussalam,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bulgaria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Burkina Faso,26 ,22 , 30,,30 ,26 , 35,,33 ,28 , 38,,36 ,31 , 42,,41 ,35 , 48,,48 ,40 , 55,,54 ,45 , 62,,62 ,52 , 71,,59 ,50 , 68,,69 ,58 , 80,,72 ,61 , 84,
Burundi,24 ,22 , 27,,28 ,26 , 32,,32 ,29 , 36,,36 ,33 , 41,,42 ,38 , 47,,48 ,44 , 55,,60 ,54 , 68,,71 ,63 , 80,,78 ,70 , 88,,86 ,77 , >98,,88 ,78 , >98,
Cabo Verde,32 ,26 , 39,,36 ,30 , 44,,44 ,38 , 53,,49 ,43 , 58,,59 ,51 , 68,,64 ,55 , 74,,74 ,65 , 85,,81 ,70 , 93,,94 ,81 , >98,,>98 ,86 , >98,,>98 ,89 , >98,
Cambodia,50 ,44 , 55,,54 ,48 , 60,,57 ,51 , 64,,60 ,54 , 66,,63 ,57 , 70,,67 ,60 , 73,,70 ,63 , 77,,74 ,66 , 81,,78 ,69 , 86,,81 ,73 , 90,,83 ,74 , 92,
Cameroon,17 ,16 , 19,,20 ,19 , 22,,23 ,22 , 26,,25 ,24 , 27,,28 ,26 , 30,,33 ,31 , 35,,40 ,38 , 44,,50 ,47 , 54,,56 ,53 , 61,,62 ,59 , 68,,74 ,70 , 80,
Canada,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,72 ,61 , 83,,... ,... , ...,,73 ,62 , 85,,... ,... , ...,,74 ,63 , 86,,... ,... , ...,,... ,... , ...,
Central African Republic,12 ,11 , 14,,12 ,10 , 14,,15 ,13 , 17,,15 ,13 , 18,,23 ,20 , 28,,28 ,24 , 34,,33 ,27 , 39,,39 ,33 , 47,,43 ,36 , 52,,53 ,44 , 63,,58 ,48 , 70,
Chad,30 ,24 , 36,,30 ,24 , 36,,33 ,26 , 39,,35 ,28 , 41,,42 ,34 , 50,,51 ,42 , 60,,39 ,32 , 46,,46 ,38 , 55,,54 ,45 , 64,,62 ,50 , 73,,69 ,56 , 82,
Chile,40 ,36 , 44,,40 ,36 , 44,,45 ,41 , 50,,50 ,45 , 54,,51 ,45 , 56,,52 ,47 , 58,,56 ,50 , 62,,62 ,55 , 69,,66 ,58 , 73,,69 ,61 , 77,,70 ,62 , 78,
China,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Colombia,18 ,15 , 23,,25 ,20 , 30,,28 ,23 , 35,,33 ,27 , 41,,39 ,31 , 48,,45 ,36 , 55,,49 ,39 , 60,,48 ,38 , 59,,49 ,40 , 60,,51 ,41 , 62,,64 ,52 , 79,
Comoros,16 ,8 , 35,,17 ,8 , 38,,20 ,10 , 45,,22 ,11 , 48,,24 ,12 , 52,,31 ,16 , 67,,34 ,17 , 71,,38 ,20 , 79,,45 ,23 , 92,,57 ,29 , >98,,62 ,31 , >98,
Congo,17 ,14 , 19,,19 ,16 , 21,,19 ,16 , 22,,21 ,17 , 25,,20 ,16 , 24,,26 ,20 , 31,,27 ,21 , 33,,28 ,21 , 36,,29 ,21 , 40,,24 ,17 , 34,,24 ,17 , 36,
Costa Rica,48 ,44 , 51,,49 ,46 , 53,,49 ,46 , 53,,50 ,47 , 54,,51 ,47 , 54,,56 ,52 , 61,,57 ,52 , 61,,59 ,54 , 63,,63 ,57 , 68,,64 ,58 , 70,,53 ,48 , 58,
Croatia,46 ,38 , 53,"Children estimates were not available at the time of publication.",49 ,40 , 56,"Children estimates were not available at the time of publication.",52 ,43 , 60,"Children estimates were not available at the time of publication.",55 ,45 , 64,"Children estimates were not available at the time of publication.",58 ,48 , 68,"Children estimates were not available at the time of publication.",63 ,52 , 74,"Children estimates were not available at the time of publication.",68 ,56 , 79,"Children estimates were not available at the time of publication.",70 ,57 , 82,"Children estimates were not available at the time of publication.",73 ,59 , 86,"Children estimates were not available at the time of publication.",73 ,60 , 87,"Children estimates were not available at the time of publication.",75 ,61 , 89,"Children estimates were not available at the time of publication."
Cuba,34 ,31 , 38,,39 ,35 , 43,,42 ,38 , 46,,45 ,41 , 49,,52 ,47 , 57,,59 ,53 , 64,,63 ,57 , 68,,67 ,61 , 73,,72 ,65 , 78,,77 ,69 , 84,,75 ,67 , 82,
Cyprus,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Czechia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Côte d'Ivoire,16 ,15 , 19,,20 ,18 , 23,,23 ,21 , 27,,27 ,24 , 31,,32 ,28 , 37,,37 ,33 , 42,,46 ,41 , 52,,57 ,51 , 65,,64 ,57 , 73,,70 ,62 , 79,,74 ,66 , 84,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,8 ,7 , 9,,10 ,9 , 11,,13 ,11 , 14,,15 ,13 , 17,,20 ,17 , 22,,24 ,21 , 27,,31 ,26 , 35,,43 ,36 , 48,,51 ,43 , 58,,63 ,54 , 73,,75 ,63 , 86,
Denmark,66 ,53 , 77,"Children estimates were not available at the time of publication.",69 ,55 , 80,"Children estimates were not available at the time of publication.",72 ,58 , 83,"Children estimates were not available at the time of publication.",71 ,57 , 83,"Children estimates were not available at the time of publication.",76 ,62 , 90,"Children estimates were not available at the time of publication.",79 ,64 , 93,"Children estimates were not available at the time of publication.",82 ,66 , 97,"Children estimates were not available at the time of publication.",84 ,68 , >98,"Children estimates were not available at the time of publication.",86 ,70 , >98,"Children estimates were not available at the time of publication.",90 ,72 , >98,"Children estimates were not available at the time of publication.",90 ,74 , >98,"Children estimates were not available at the time of publication."
Djibouti,9 ,7 , 11,,10 ,7 , 13,,13 ,10 , 17,,15 ,11 , 20,,18 ,13 , 24,,23 ,17 , 31,,28 ,20 , 37,,32 ,23 , 43,,37 ,27 , 49,,27 ,20 , 36,,30 ,22 , 40,
Dominican Republic,20 ,15 , 27,,23 ,18 , 31,,27 ,21 , 35,,29 ,23 , 38,,32 ,26 , 42,,35 ,28 , 45,,38 ,31 , 49,,41 ,33 , 52,,44 ,36 , 55,,47 ,38 , 59,,51 ,42 , 64,
Ecuador,23 ,17 , 36,,28 ,20 , 42,,28 ,20 , 43,,29 ,21 , 44,,35 ,25 , 52,,42 ,29 , 61,,47 ,33 , 69,,53 ,37 , 79,,60 ,41 , 88,,70 ,48 , >98,,76 ,52 , >98,
Egypt,11 ,9 , 13,,12 ,10 , 14,,13 ,11 , 15,,14 ,12 , 16,,18 ,15 , 20,,19 ,17 , 21,,23 ,21 , 25,,30 ,27 , 32,,37 ,33 , 40,,40 ,36 , 44,,44 ,40 , 48,
El Salvador,41 ,38 , 44,,41 ,38 , 44,,41 ,38 , 44,,44 ,40 , 47,,44 ,41 , 47,,45 ,41 , 48,,47 ,43 , 50,,47 ,44 , 51,,48 ,44 , 51,,54 ,49 , 57,,56 ,51 , 60,
Equatorial Guinea,7 ,6 , 8,,10 ,9 , 13,,14 ,12 , 17,,24 ,20 , 30,,24 ,20 , 29,,21 ,17 , 26,,27 ,22 , 34,,35 ,28 , 45,,35 ,27 , 45,,35 ,27 , 47,,38 ,29 , 52,
Eritrea,29 ,22 , 37,,35 ,27 , 46,,42 ,32 , 54,,48 ,37 , 62,,55 ,42 , 71,,60 ,46 , 79,,64 ,49 , 84,,66 ,50 , 86,,68 ,52 , 89,,69 ,53 , 90,,73 ,55 , 93,
Estonia,32 ,28 , 36,"Children estimates were not available at the time of publication.",37 ,32 , 41,"Children estimates were not available at the time of publication.",42 ,37 , 46,"Children estimates were not available at the time of publication.",44 ,39 , 48,"Children estimates were not available at the time of publication.",48 ,42 , 53,"Children estimates were not available at the time of publication.",55 ,48 , 60,"Children estimates were not available at the time of publication.",59 ,52 , 65,"Children estimates were not available at the time of publication.",61 ,54 , 67,"Children estimates were not available at the time of publication.",63 ,56 , 70,"Children estimates were not available at the time of publication.",65 ,57 , 72,"Children estimates were not available at the time of publication.",66 ,58 , 74,"Children estimates were not available at the time of publication."
Eswatini,35 ,33 , 37,,39 ,37 , 41,,43 ,41 , 46,,49 ,46 , 52,,59 ,56 , 63,,69 ,64 , 73,,78 ,73 , 84,,87 ,81 , 94,,89 ,82 , 95,,96 ,89 , >98,,>98 ,95 , >98,
Ethiopia,34 ,28 , 42,,41 ,33 , 50,,45 ,36 , 54,,49 ,40 , 60,,56 ,45 , 69,,60 ,48 , 73,,66 ,53 , 80,,69 ,56 , 84,,71 ,58 , 87,,75 ,60 , 91,,78 ,63 , 95,
Fiji,17 ,12 , 32,,18 ,13 , 32,,27 ,20 , 46,,25 ,19 , 41,,27 ,20 , 45,,25 ,18 , 43,,25 ,18 , 45,,29 ,20 , 54,,33 ,22 , 62,,38 ,24 , 72,,40 ,25 , 78,
Finland,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
France,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Gabon,24 ,20 , 30,,28 ,23 , 34,,32 ,27 , 39,,43 ,36 , 51,,46 ,39 , 55,,57 ,48 , 68,,64 ,53 , 76,,71 ,58 , 84,,76 ,62 , 90,,56 ,46 , 67,,52 ,43 , 63,
Gambia,10 ,8 , 12,,15 ,12 , 18,,17 ,14 , 21,,17 ,14 , 22,,19 ,16 , 24,,21 ,17 , 26,,25 ,20 , 30,,27 ,21 , 33,,29 ,23 , 37,,31 ,25 , 40,,31 ,24 , 40,
Georgia,27 ,24 , 30,,31 ,29 , 34,,41 ,38 , 44,,45 ,42 , 49,,49 ,46 , 54,,53 ,50 , 58,,58 ,54 , 64,,61 ,56 , 67,,63 ,58 , 69,,65 ,59 , 72,,65 ,57 , 72,
Germany,64 ,50 , 75,"Children estimates were not available at the time of publication.",67 ,52 , 78,"Children estimates were not available at the time of publication.",69 ,53 , 81,"Children estimates were not available at the time of publication.",71 ,55 , 83,"Children estimates were not available at the time of publication.",73 ,56 , 85,"Children estimates were not available at the time of publication.",75 ,58 , 88,"Children estimates were not available at the time of publication.",77 ,60 , 90,"Children estimates were not available at the time of publication.",80 ,62 , 93,"Children estimates were not available at the time of publication.",81 ,63 , 95,"Children estimates were not available at the time of publication.",85 ,66 , >98,"Children estimates were not available at the time of publication.",86 ,67 , >98,"Children estimates were not available at the time of publication."
Ghana,13 ,12 , 15,,19 ,17 , 22,,22 ,19 , 26,,24 ,21 , 28,,26 ,23 , 30,,25 ,22 , 29,,28 ,24 , 32,,31 ,27 , 36,,33 ,29 , 39,,45 ,39 , 52,,60 ,52 , 71,
Greece,42 ,39 , 46,"Children estimates were not available at the time of publication.",43 ,40 , 46,"Children estimates were not available at the time of publication.",44 ,41 , 48,"Children estimates were not available at the time of publication.",48 ,44 , 51,"Children estimates were not available at the time of publication.",51 ,47 , 54,"Children estimates were not available at the time of publication.",55 ,52 , 59,"Children estimates were not available at the time of publication.",60 ,56 , 64,"Children estimates were not available at the time of publication.",62 ,58 , 67,"Children estimates were not available at the time of publication.",66 ,61 , 70,"Children estimates were not available at the time of publication.",67 ,62 , 72,"Children estimates were not available at the time of publication.",67 ,61 , 72,"Children estimates were not available at the time of publication."
Guatemala,35 ,28 , 45,,39 ,31 , 51,,44 ,35 , 58,,47 ,38 , 63,,49 ,39 , 64,,47 ,38 , 62,,48 ,39 , 64,,53 ,43 , 69,,59 ,48 , 76,,63 ,52 , 80,,64 ,53 , 82,
Guinea,22 ,21 , 23,,24 ,23 , 26,,29 ,27 , 30,,29 ,27 , 30,,32 ,30 , 34,,34 ,32 , 36,,35 ,34 , 37,,38 ,36 , 41,,44 ,42 , 47,,53 ,50 , 56,,49 ,47 , 52,
Guinea-Bissau,11 ,10 , 12,,14 ,13 , 16,,17 ,16 , 20,,18 ,16 , 21,,22 ,19 , 24,,25 ,22 , 28,,31 ,28 , 35,,32 ,28 , 36,,40 ,35 , 44,,45 ,40 , 50,,59 ,52 , 65,
Guyana,43 ,39 , 47,,47 ,42 , 51,,49 ,44 , 53,,52 ,47 , 56,,53 ,49 , 58,,55 ,50 , 61,,58 ,53 , 64,,61 ,55 , 68,,64 ,58 , 71,,67 ,61 , 75,,66 ,59 , 73,
Haiti,21 ,19 , 24,,25 ,23 , 28,,31 ,28 , 34,,39 ,35 , 43,,43 ,39 , 48,,47 ,43 , 52,,57 ,51 , 63,,64 ,57 , 70,,61 ,55 , 67,,73 ,64 , 80,,80 ,71 , 89,
Honduras,31 ,27 , 35,,34 ,30 , 38,,37 ,33 , 42,,40 ,36 , 45,,43 ,38 , 48,,45 ,40 , 51,,48 ,42 , 54,,51 ,45 , 58,,52 ,46 , 59,,53 ,47 , 61,,54 ,47 , 61,
Hungary,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Iceland,62 ,51 , 73,"Children estimates were not available at the time of publication.",64 ,53 , 75,"Children estimates were not available at the time of publication.",65 ,54 , 76,"Children estimates were not available at the time of publication.",66 ,56 , 77,"Children estimates were not available at the time of publication.",68 ,57 , 78,"Children estimates were not available at the time of publication.",69 ,58 , 79,"Children estimates were not available at the time of publication.",71 ,60 , 81,"Children estimates were not available at the time of publication.",77 ,65 , 87,"Children estimates were not available at the time of publication.",83 ,71 , 95,"Children estimates were not available at the time of publication.",85 ,72 , 98,"Children estimates were not available at the time of publication.",88 ,74 , >98,"Children estimates were not available at the time of publication."
