Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Democratic Republic of the Congo,25 000 ,11 000 , 51 000,,29 000 ,13 000 , 59 000,,32 000 ,15 000 , 65 000,,36 000 ,16 000 , 73 000,,39 000 ,18 000 , 79 000,,42 000 ,19 000 , 85 000,,44 000 ,21 000 , 89 000,,46 000 ,22 000 , 93 000,,47 000 ,22 000 , 96 000,,47 000 ,23 000 , 97 000,,47 000 ,23 000 , 96 000,,47 000 ,23 000 , 96 000,,47 000 ,23 000 , 94 000,,47 000 ,23 000 , 92 000,,46 000 ,23 000 , 90 000,,46 000 ,23 000 , 89 000,,45 000 ,23 000 , 88 000,,45 000 ,24 000 , 88 000,,45 000 ,25 000 , 88 000,,45 000 ,25 000 , 88 000,,46 000 ,26 000 , 88 000,,47 000 ,27 000 , 89 000,,47 000 ,28 000 , 89 000,,49 000 ,29 000 , 91 000,,50 000 ,31 000 , 92 000,,52 000 ,33 000 , 95 000,,55 000 ,36 000 , 99 000,,59 000 ,39 000 , 100 000,,63 000 ,42 000 , 110 000,,67 000 ,47 000 , 110 000,,72 000 ,51 000 , 120 000,
Denmark,<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <1000,"Children estimates were not available at the time of publication.",<500 ,<200 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , 1100,"Children estimates were not available at the time of publication.",<1000 ,<500 , 1300,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1400,"Children estimates were not available at the time of publication.",1000 ,<1000 , 1600,"Children estimates were not available at the time of publication.",1100 ,<1000 , 1800,"Children estimates were not available at the time of publication.",1300 ,<1000 , 2000,"Children estimates were not available at the time of publication.",1400 ,<1000 , 2100,"Children estimates were not available at the time of publication.",1500 ,<1000 , 2300,"Children estimates were not available at the time of publication.",1700 ,1100 , 2500,"Children estimates were not available at the time of publication.",1800 ,1200 , 2700,"Children estimates were not available at the time of publication.",2000 ,1300 , 2900,"Children estimates were not available at the time of publication.",2200 ,1400 , 3100,"Children estimates were not available at the time of publication.",2400 ,1600 , 3400,"Children estimates were not available at the time of publication.",2600 ,1700 , 3600,"Children estimates were not available at the time of publication.",2800 ,1900 , 3800,"Children estimates were not available at the time of publication.",3000 ,2100 , 4100,"Children estimates were not available at the time of publication.",3200 ,2200 , 4300,"Children estimates were not available at the time of publication.",3400 ,2400 , 4500,"Children estimates were not available at the time of publication.",3500 ,2500 , 4700,"Children estimates were not available at the time of publication.",3700 ,2700 , 4900,"Children estimates were not available at the time of publication.",3900 ,2800 , 5100,"Children estimates were not available at the time of publication."
Djibouti,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <1000,,<500 ,<100 , 1000,,<500 ,<100 , 1300,,<1000 ,<200 , 1600,,<1000 ,<500 , 2000,,<1000 ,<500 , 2400,,1100 ,<500 , 2500,,1200 ,<1000 , 2600,,1200 ,<1000 , 2600,,1300 ,<1000 , 2700,,1300 ,<1000 , 2800,,1300 ,<1000 , 2900,,1300 ,<1000 , 3000,,1300 ,<1000 , 3000,,1300 ,<1000 , 3000,,1300 ,<1000 , 3000,,1300 ,<1000 , 3000,,1400 ,<1000 , 2900,,1400 ,<1000 , 2800,,1400 ,<1000 , 2800,,1400 ,<1000 , 2700,,1400 ,<1000 , 2800,,1500 ,<1000 , 2700,,1500 ,1100 , 2700,,1600 ,1100 , 2700,,1600 ,1200 , 2700,,1700 ,1300 , 2800,
Dominican Republic,1200 ,<500 , 2600,,1600 ,<1000 , 3500,,2200 ,<1000 , 4800,,2800 ,1300 , 5800,,3500 ,1600 , 6900,,4200 ,2000 , 8200,,4800 ,2300 , 9200,,5500 ,2700 , 10 000,,6100 ,3200 , 11 000,,6700 ,3600 , 12 000,,7200 ,3900 , 13 000,,7700 ,4300 , 14 000,,8100 ,4700 , 15 000,,8500 ,5100 , 15 000,,8800 ,5300 , 16 000,,9100 ,5600 , 16 000,,9400 ,6000 , 16 000,,9800 ,6400 , 17 000,,10 000 ,6900 , 17 000,,11 000 ,7500 , 18 000,,12 000 ,8300 , 19 000,,13 000 ,9000 , 20 000,,14 000 ,9700 , 21 000,,15 000 ,11 000 , 22 000,,16 000 ,12 000 , 23 000,,17 000 ,13 000 , 24 000,,18 000 ,14 000 , 26 000,,19 000 ,15 000 , 27 000,,21 000 ,17 000 , 28 000,,22 000 ,18 000 , 30 000,,23 000 ,19 000 , 31 000,
Ecuador,<200 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<100 , 1100,,<1000 ,<200 , 1500,,<1000 ,<200 , 1700,,<1000 ,<500 , 1900,,<1000 ,<500 , 2200,,1100 ,<500 , 2500,,1300 ,<1000 , 2700,,1500 ,<1000 , 3000,,1700 ,<1000 , 3400,,1900 ,<1000 , 3700,,2100 ,1100 , 4200,,2400 ,1300 , 4400,,2700 ,1400 , 4900,,2900 ,1600 , 5400,,3200 ,1800 , 6000,,3600 ,2000 , 6600,,4000 ,2300 , 7200,,4500 ,2600 , 7900,,5000 ,3000 , 8600,,5700 ,3500 , 9500,,6300 ,4000 , 10 000,,7000 ,4400 , 12 000,,7700 ,5000 , 13 000,,8600 ,5600 , 14 000,,9600 ,6300 , 15 000,,11 000 ,7000 , 17 000,,12 000 ,7700 , 18 000,,13 000 ,8500 , 20 000,
Egypt,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1400,,<1000 ,<500 , 1600,,1100 ,<1000 , 1900,,1300 ,<1000 , 2300,,1500 ,<1000 , 2800,,1800 ,1000 , 3300,,2100 ,1200 , 3800,,2400 ,1400 , 4500,,2800 ,1700 , 5200,
El Salvador,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1200,,<1000 ,<500 , 1400,,<1000 ,<500 , 1600,,1100 ,<1000 , 1800,,1200 ,<1000 , 2000,,1300 ,<1000 , 2300,,1500 ,<1000 , 2600,,1800 ,1100 , 2900,,2000 ,1300 , 3300,,2300 ,1500 , 3700,,2600 ,1700 , 4100,,2900 ,2000 , 4600,,3300 ,2300 , 5100,,3700 ,2600 , 5600,,4200 ,3000 , 6100,,4700 ,3500 , 6700,,5200 ,3900 , 7200,,5700 ,4400 , 7800,,6200 ,4900 , 8300,,6700 ,5300 , 8800,,7200 ,5700 , 9300,,7600 ,6100 , 9600,
Equatorial Guinea,<200 ,<100 , <500,,<500 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , 1100,,<1000 ,<500 , 1300,,<1000 ,<500 , 1500,,<1000 ,<500 , 1700,,<1000 ,<500 , 1900,,<1000 ,<500 , 2100,,1000 ,<500 , 2400,,1100 ,<1000 , 2600,,1300 ,<1000 , 2900,,1400 ,<1000 , 3100,,1600 ,<1000 , 3400,,1700 ,<1000 , 3700,,1900 ,<1000 , 4000,,2100 ,1000 , 4300,,2300 ,1100 , 4800,,2600 ,1300 , 5200,,2900 ,1500 , 5700,,3200 ,1600 , 6100,,3500 ,1900 , 6700,,3900 ,2100 , 7400,,4300 ,2400 , 8100,,4800 ,2700 , 8800,,5200 ,3000 , 9600,,5700 ,3300 , 10 000,,6200 ,3700 , 11 000,,6700 ,4000 , 12 000,
Eritrea,<1000 ,<500 , 2200,,<1000 ,<500 , 2700,,1200 ,<500 , 3100,,1500 ,<1000 , 3500,,1700 ,<1000 , 3900,,1900 ,<1000 , 4500,,2100 ,<1000 , 4800,,2200 ,<1000 , 5000,,2300 ,1000 , 5200,,2400 ,1100 , 5300,,2400 ,1100 , 5200,,2400 ,1100 , 5100,,2300 ,1000 , 4900,,2200 ,1000 , 4700,,2100 ,<1000 , 4500,,1900 ,<1000 , 4200,,1800 ,<1000 , 3900,,1800 ,<1000 , 3700,,1800 ,<1000 , 3700,,1800 ,<1000 , 3700,,1900 ,1000 , 3700,,1900 ,1100 , 3800,,2000 ,1200 , 3800,,2000 ,1300 , 3900,,2100 ,1300 , 3900,,2200 ,1500 , 4100,,2400 ,1700 , 4300,,2600 ,1900 , 4600,,2800 ,2100 , 4800,,3100 ,2300 , 5100,,3300 ,2500 , 5300,
Estonia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<500 ,<100 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <1000,"Children estimates were not available at the time of publication.",<500 ,<200 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , 1200,"Children estimates were not available at the time of publication.",<1000 ,<500 , 1300,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1500,"Children estimates were not available at the time of publication.",1100 ,<1000 , 1700,"Children estimates were not available at the time of publication.",1200 ,<1000 , 1800,"Children estimates were not available at the time of publication.",1400 ,<1000 , 2000,"Children estimates were not available at the time of publication.",1500 ,<1000 , 2200,"Children estimates were not available at the time of publication.",1700 ,1100 , 2400,"Children estimates were not available at the time of publication.",1900 ,1300 , 2700,"Children estimates were not available at the time of publication.",2100 ,1400 , 2900,"Children estimates were not available at the time of publication.",2200 ,1600 , 3100,"Children estimates were not available at the time of publication.",2400 ,1700 , 3300,"Children estimates were not available at the time of publication.",2600 ,1900 , 3500,"Children estimates were not available at the time of publication.",2800 ,2100 , 3800,"Children estimates were not available at the time of publication."
Eswatini,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<1000 ,<500 , 1800,,1500 ,<1000 , 3000,,2300 ,<1000 , 4600,,3300 ,1300 , 6300,,4400 ,1800 , 8200,,5500 ,2200 , 10 000,,6500 ,2700 , 12 000,,7500 ,3200 , 13 000,,8300 ,3600 , 14 000,,9000 ,4000 , 16 000,,9600 ,4200 , 17 000,,10 000 ,4600 , 17 000,,11 000 ,4900 , 18 000,,11 000 ,5300 , 18 000,,12 000 ,5600 , 19 000,,12 000 ,6100 , 20 000,,13 000 ,6800 , 21 000,,15 000 ,7700 , 22 000,,16 000 ,8800 , 24 000,,18 000 ,10 000 , 26 000,,19 000 ,11 000 , 28 000,,21 000 ,13 000 , 30 000,,23 000 ,14 000 , 32 000,,24 000 ,15 000 , 34 000,,26 000 ,16 000 , 36 000,,28 000 ,18 000 , 39 000,,30 000 ,20 000 , 41 000,,32 000 ,21 000 , 44 000,,34 000 ,23 000 , 47 000,
Ethiopia,25 000 ,18 000 , 41 000,,33 000 ,24 000 , 53 000,,41 000 ,30 000 , 67 000,,50 000 ,36 000 , 80 000,,57 000 ,42 000 , 92 000,,63 000 ,47 000 , 100 000,,68 000 ,50 000 , 110 000,,72 000 ,53 000 , 120 000,,74 000 ,55 000 , 120 000,,76 000 ,56 000 , 120 000,,76 000 ,56 000 , 120 000,,75 000 ,55 000 , 120 000,,73 000 ,53 000 , 120 000,,70 000 ,52 000 , 110 000,,67 000 ,49 000 , 110 000,,65 000 ,47 000 , 100 000,,63 000 ,46 000 , 100 000,,62 000 ,45 000 , 100 000,,63 000 ,46 000 , 100 000,,65 000 ,48 000 , 110 000,,69 000 ,51 000 , 110 000,,74 000 ,54 000 , 120 000,,79 000 ,58 000 , 130 000,,86 000 ,63 000 , 140 000,,93 000 ,68 000 , 150 000,,100 000 ,73 000 , 160 000,,110 000 ,79 000 , 170 000,,120 000 ,86 000 , 190 000,,120 000 ,92 000 , 200 000,,130 000 ,98 000 , 220 000,,140 000 ,100 000 , 230 000,
Fiji,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,
Finland,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
France,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Gabon,<1000 ,<500 , 1400,,<1000 ,<500 , 1800,,1000 ,<500 , 2500,,1300 ,<500 , 3200,,1700 ,<1000 , 4100,,2000 ,<1000 , 4800,,2400 ,<1000 , 5500,,2800 ,1100 , 6200,,3100 ,1200 , 6700,,3300 ,1400 , 7200,,3500 ,1500 , 7500,,3600 ,1600 , 7500,,3700 ,1600 , 7500,,3700 ,1700 , 7600,,3700 ,1700 , 7600,,3800 ,1800 , 7700,,3900 ,1900 , 7900,,4000 ,2000 , 8000,,4200 ,2100 , 8200,,4300 ,2200 , 8400,,4500 ,2400 , 8700,,4700 ,2600 , 8900,,5000 ,2900 , 9100,,5300 ,3200 , 9600,,5600 ,3500 , 10 000,,6100 ,3900 , 11 000,,6700 ,4400 , 11 000,,7300 ,4900 , 12 000,,7900 ,5500 , 13 000,,8600 ,6100 , 14 000,,9400 ,6800 , 15 000,
Gambia,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1300,,<1000 ,<1000 , 1600,,1100 ,<1000 , 1800,,1300 ,<1000 , 2200,,1400 ,<1000 , 2500,,1600 ,1000 , 2700,,1700 ,1100 , 3000,,1800 ,1200 , 3200,,1900 ,1300 , 3300,,2000 ,1300 , 3500,,2100 ,1400 , 3600,,2200 ,1500 , 3800,,2400 ,1600 , 4000,,2500 ,1700 , 4100,,2700 ,1800 , 4300,,2900 ,2100 , 4600,,3100 ,2300 , 4900,,3400 ,2500 , 5200,,3600 ,2700 , 5500,,3900 ,2900 , 5800,,4200 ,3200 , 6100,,4400 ,3400 , 6500,,4700 ,3600 , 6900,,4900 ,3800 , 7300,
Georgia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,1100 ,<1000 , 1300,,1200 ,<1000 , 1400,,1400 ,<1000 , 1600,,1500 ,1100 , 1800,,1700 ,1300 , 2000,,1900 ,1500 , 2300,
Germany,5800 ,2800 , 11 000,"Children estimates were not available at the time of publication.",6100 ,3200 , 11 000,"Children estimates were not available at the time of publication.",6300 ,3400 , 12 000,"Children estimates were not available at the time of publication.",6400 ,3500 , 12 000,"Children estimates were not available at the time of publication.",6400 ,3600 , 11 000,"Children estimates were not available at the time of publication.",6500 ,3700 , 12 000,"Children estimates were not available at the time of publication.",7100 ,4100 , 12 000,"Children estimates were not available at the time of publication.",7700 ,4500 , 13 000,"Children estimates were not available at the time of publication.",8500 ,5000 , 14 000,"Children estimates were not available at the time of publication.",9200 ,5600 , 15 000,"Children estimates were not available at the time of publication.",10 000 ,6200 , 16 000,"Children estimates were not available at the time of publication.",11 000 ,6900 , 18 000,"Children estimates were not available at the time of publication.",12 000 ,7700 , 19 000,"Children estimates were not available at the time of publication.",13 000 ,8600 , 21 000,"Children estimates were not available at the time of publication.",15 000 ,9700 , 23 000,"Children estimates were not available at the time of publication.",17 000 ,11 000 , 25 000,"Children estimates were not available at the time of publication.",18 000 ,12 000 , 28 000,"Children estimates were not available at the time of publication.",20 000 ,14 000 , 30 000,"Children estimates were not available at the time of publication.",22 000 ,15 000 , 33 000,"Children estimates were not available at the time of publication.",25 000 ,17 000 , 35 000,"Children estimates were not available at the time of publication.",27 000 ,19 000 , 38 000,"Children estimates were not available at the time of publication.",29 000 ,20 000 , 41 000,"Children estimates were not available at the time of publication.",32 000 ,22 000 , 44 000,"Children estimates were not available at the time of publication.",35 000 ,24 000 , 47 000,"Children estimates were not available at the time of publication.",37 000 ,27 000 , 50 000,"Children estimates were not available at the time of publication.",40 000 ,29 000 , 54 000,"Children estimates were not available at the time of publication.",43 000 ,31 000 , 56 000,"Children estimates were not available at the time of publication.",45 000 ,32 000 , 59 000,"Children estimates were not available at the time of publication.",47 000 ,34 000 , 62 000,"Children estimates were not available at the time of publication.",50 000 ,36 000 , 65 000,"Children estimates were not available at the time of publication.",52 000 ,38 000 , 67 000,"Children estimates were not available at the time of publication."
Ghana,6600 ,2500 , 15 000,,8200 ,3200 , 18 000,,9900 ,3900 , 22 000,,12 000 ,4500 , 26 000,,13 000 ,5300 , 28 000,,15 000 ,6100 , 31 000,,16 000 ,6800 , 34 000,,18 000 ,7600 , 36 000,,19 000 ,8200 , 37 000,,20 000 ,8900 , 39 000,,20 000 ,9500 , 40 000,,21 000 ,9800 , 41 000,,21 000 ,10 000 , 42 000,,21 000 ,10 000 , 42 000,,21 000 ,10 000 , 43 000,,21 000 ,11 000 , 43 000,,22 000 ,11 000 , 44 000,,22 000 ,11 000 , 45 000,,23 000 ,12 000 , 46 000,,24 000 ,13 000 , 48 000,,26 000 ,14 000 , 50 000,,27 000 ,15 000 , 53 000,,29 000 ,17 000 , 56 000,,32 000 ,18 000 , 59 000,,34 000 ,20 000 , 63 000,,37 000 ,23 000 , 67 000,,40 000 ,25 000 , 72 000,,43 000 ,27 000 , 77 000,,46 000 ,30 000 , 82 000,,49 000 ,33 000 , 87 000,,53 000 ,36 000 , 93 000,
Greece,<500 ,<200 , <1000,"Children estimates were not available at the time of publication.",<500 ,<200 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1200,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1300,"Children estimates were not available at the time of publication.",1000 ,<1000 , 1500,"Children estimates were not available at the time of publication.",1200 ,<1000 , 1700,"Children estimates were not available at the time of publication.",1300 ,<1000 , 1900,"Children estimates were not available at the time of publication.",1500 ,1100 , 2100,"Children estimates were not available at the time of publication.",1700 ,1200 , 2300,"Children estimates were not available at the time of publication.",1900 ,1300 , 2500,"Children estimates were not available at the time of publication.",2100 ,1500 , 2800,"Children estimates were not available at the time of publication.",2300 ,1700 , 3100,"Children estimates were not available at the time of publication.",2600 ,1900 , 3500,"Children estimates were not available at the time of publication.",2900 ,2100 , 3900,"Children estimates were not available at the time of publication.",3200 ,2300 , 4300,"Children estimates were not available at the time of publication.",3600 ,2600 , 4800,"Children estimates were not available at the time of publication.",3900 ,2900 , 5300,"Children estimates were not available at the time of publication.",4300 ,3200 , 5700,"Children estimates were not available at the time of publication.",4600 ,3500 , 6100,"Children estimates were not available at the time of publication.",5000 ,3900 , 6500,"Children estimates were not available at the time of publication.",5400 ,4300 , 6900,"Children estimates were not available at the time of publication.",5800 ,4600 , 7300,"Children estimates were not available at the time of publication.",6300 ,5100 , 7800,"Children estimates were not available at the time of publication.",6800 ,5500 , 8300,"Children estimates were not available at the time of publication.",7300 ,5900 , 8900,"Children estimates were not available at the time of publication."
Guatemala,<500 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<200 , 1300,,<1000 ,<200 , 1500,,<1000 ,<500 , 1800,,<1000 ,<500 , 2100,,<1000 ,<500 , 2300,,1100 ,<500 , 2600,,1300 ,<1000 , 2800,,1400 ,<1000 , 3000,,1600 ,<1000 , 3200,,1800 ,<1000 , 3400,,2000 ,1100 , 3700,,2200 ,1300 , 4100,,2500 ,1500 , 4500,,2800 ,1700 , 4900,,3100 ,2000 , 5300,,3500 ,2300 , 5700,,3900 ,2600 , 6300,,4400 ,3000 , 7000,,4900 ,3400 , 7700,,5400 ,3900 , 8500,,6000 ,4400 , 9200,,6600 ,5000 , 9900,,7200 ,5500 , 11 000,,7700 ,6000 , 11 000,,8400 ,6700 , 12 000,,9000 ,7200 , 12 000,,9600 ,7700 , 13 000,,10 000 ,8300 , 13 000,,11 000 ,8800 , 14 000,
