Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Croatia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication."
Cuba,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1000,
Cyprus,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Czechia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Côte d'Ivoire,51 000 ,22 000 , 91 000,,63 000 ,27 000 , 110 000,,75 000 ,31 000 , 120 000,,86 000 ,36 000 , 140 000,,96 000 ,40 000 , 150 000,,100 000 ,46 000 , 160 000,,110 000 ,47 000 , 160 000,,100 000 ,47 000 , 160 000,,100 000 ,45 000 , 160 000,,94 000 ,43 000 , 150 000,,87 000 ,40 000 , 140 000,,80 000 ,35 000 , 130 000,,73 000 ,32 000 , 120 000,,67 000 ,30 000 , 110 000,,61 000 ,29 000 , 96 000,,57 000 ,29 000 , 87 000,,54 000 ,29 000 , 81 000,,53 000 ,29 000 , 76 000,,51 000 ,29 000 , 72 000,,51 000 ,31 000 , 69 000,,51 000 ,33 000 , 68 000,,50 000 ,34 000 , 67 000,,50 000 ,35 000 , 66 000,,50 000 ,35 000 , 65 000,,50 000 ,36 000 , 64 000,,49 000 ,36 000 , 62 000,,48 000 ,36 000 , 60 000,,47 000 ,36 000 , 58 000,,45 000 ,35 000 , 55 000,,43 000 ,34 000 , 53 000,,40 000 ,32 000 , 50 000,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,77 000 ,38 000 , 120 000,,84 000 ,41 000 , 130 000,,91 000 ,42 000 , 140 000,,96 000 ,42 000 , 150 000,,100 000 ,42 000 , 150 000,,100 000 ,43 000 , 160 000,,100 000 ,43 000 , 160 000,,100 000 ,43 000 , 150 000,,97 000 ,43 000 , 150 000,,93 000 ,42 000 , 140 000,,90 000 ,42 000 , 130 000,,87 000 ,42 000 , 130 000,,85 000 ,42 000 , 120 000,,82 000 ,41 000 , 120 000,,81 000 ,42 000 , 120 000,,80 000 ,43 000 , 110 000,,79 000 ,44 000 , 110 000,,79 000 ,46 000 , 110 000,,79 000 ,47 000 , 110 000,,79 000 ,48 000 , 110 000,,78 000 ,49 000 , 110 000,,78 000 ,50 000 , 110 000,,78 000 ,50 000 , 100 000,,78 000 ,50 000 , 100 000,,77 000 ,50 000 , 100 000,,77 000 ,49 000 , 100 000,,76 000 ,49 000 , 100 000,,75 000 ,49 000 , 98 000,,74 000 ,48 000 , 97 000,,72 000 ,47 000 , 95 000,,69 000 ,46 000 , 91 000,
Denmark,<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication."
Djibouti,<100 ,<100 , <500,,<200 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<100 , 1400,,<1000 ,<200 , 2000,,<1000 ,<200 , 2800,,1400 ,<500 , 3700,,1900 ,<1000 , 3900,,2300 ,<1000 , 4100,,2400 ,<1000 , 4000,,2400 ,1000 , 4000,,2200 ,<1000 , 3600,,2000 ,<1000 , 3500,,1600 ,<1000 , 3000,,1300 ,<500 , 2600,,1100 ,<500 , 2100,,<1000 ,<500 , 1700,,<1000 ,<500 , 1400,,<1000 ,<500 , 1100,,<1000 ,<500 , 1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1100,,<1000 ,<500 , 1100,,<1000 ,<500 , 1100,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,
Dominican Republic,2700 ,1800 , 4400,,3600 ,2400 , 5600,,4500 ,3200 , 6900,,5400 ,3900 , 8100,,6100 ,4300 , 9200,,6600 ,4600 , 9700,,6800 ,4700 , 9900,,6800 ,4700 , 10 000,,6700 ,4600 , 10 000,,6500 ,4300 , 9800,,6000 ,4000 , 9100,,5500 ,3600 , 8400,,5000 ,3300 , 7700,,4500 ,3000 , 6900,,4000 ,2600 , 6100,,3600 ,2400 , 5700,,3300 ,2200 , 5300,,3100 ,2100 , 5000,,3000 ,2000 , 4800,,2900 ,2000 , 4600,,2900 ,2000 , 4400,,2900 ,2100 , 4300,,3000 ,2100 , 4200,,3000 ,2200 , 4200,,3100 ,2300 , 4200,,3100 ,2300 , 4200,,3200 ,2300 , 4300,,3200 ,2300 , 4300,,3100 ,2200 , 4300,,3100 ,2200 , 4200,,3000 ,2100 , 4200,
Ecuador,<500 ,<100 , <1000,,<500 ,<100 , 1100,,<1000 ,<100 , 1200,,<1000 ,<200 , 1400,,<1000 ,<500 , 1700,,<1000 ,<500 , 1800,,<1000 ,<500 , 1900,,<1000 ,<1000 , 1900,,1000 ,<1000 , 2000,,1100 ,<1000 , 2100,,1100 ,<1000 , 2100,,1200 ,<1000 , 2100,,1200 ,<1000 , 2000,,1200 ,<1000 , 2000,,1300 ,<1000 , 2200,,1300 ,<1000 , 2300,,1300 ,<1000 , 2200,,1200 ,<1000 , 2300,,1200 ,<1000 , 2200,,1200 ,<1000 , 2100,,1200 ,<1000 , 2100,,1300 ,<1000 , 2100,,1300 ,<1000 , 2100,,1300 ,<1000 , 2200,,1300 ,<1000 , 2200,,1400 ,<1000 , 2200,,1400 ,<1000 , 2200,,1400 ,<1000 , 2300,,1400 ,<1000 , 2400,,1400 ,<1000 , 2400,,1400 ,<1000 , 2400,
Egypt,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1200,,1100 ,<1000 , 1400,,1200 ,<1000 , 1600,,1400 ,1000 , 1800,,1500 ,1100 , 2000,,1700 ,1300 , 2200,,1900 ,1400 , 2500,,2000 ,1400 , 2700,
El Salvador,<200 ,<100 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1200,,1000 ,<1000 , 1200,,1100 ,<1000 , 1300,,1100 ,<1000 , 1300,,1100 ,<1000 , 1300,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1100 ,<1000 , 1300,,1100 ,<1000 , 1300,,1000 ,<1000 , 1300,,1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1000,
Equatorial Guinea,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<1000 ,<200 , 1200,,<1000 ,<500 , 1400,,<1000 ,<500 , 1600,,<1000 ,<500 , 1900,,1100 ,<500 , 2000,,1200 ,<1000 , 2200,,1400 ,<1000 , 2400,,1500 ,<1000 , 2700,,1700 ,<1000 , 2900,,1800 ,<1000 , 3100,,2000 ,<1000 , 3300,,2200 ,<1000 , 3500,,2300 ,1000 , 3700,,2500 ,1100 , 3900,,2700 ,1200 , 4200,,2900 ,1300 , 4600,,3200 ,1400 , 5000,,3400 ,1600 , 5500,,3700 ,1700 , 6000,,3900 ,1800 , 6500,,4200 ,2000 , 6900,,4500 ,2100 , 7500,,4700 ,2300 , 7900,,4900 ,2400 , 8200,,5200 ,2500 , 8800,,5400 ,2500 , 9500,,5600 ,2600 , 9900,,5800 ,2700 , 11 000,,6000 ,2800 , 11 000,
Eritrea,2500 ,<1000 , 5100,,2900 ,1000 , 5600,,3300 ,1300 , 6200,,3600 ,1500 , 6400,,3800 ,1700 , 6300,,4000 ,1800 , 6300,,4100 ,1800 , 6200,,4000 ,1800 , 6200,,4000 ,1800 , 6300,,3800 ,1700 , 6100,,3600 ,1500 , 5800,,3400 ,1400 , 5600,,3200 ,1300 , 5200,,2900 ,1300 , 4700,,2700 ,1200 , 4300,,2400 ,1100 , 4000,,2300 ,1100 , 3600,,2100 ,1100 , 3400,,2000 ,1100 , 3200,,1900 ,1100 , 3000,,1800 ,1100 , 2800,,1700 ,1100 , 2600,,1700 ,1000 , 2500,,1600 ,1000 , 2400,,1500 ,<1000 , 2200,,1400 ,<1000 , 2100,,1300 ,<1000 , 1900,,1200 ,<1000 , 1800,,1100 ,<1000 , 1700,,1100 ,<1000 , 1600,,1000 ,<1000 , 1600,
Estonia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication."
Eswatini,1600 ,<1000 , 2400,,3300 ,1500 , 4800,,6000 ,2700 , 9100,,10 000 ,4600 , 15 000,,15 000 ,7300 , 22 000,,21 000 ,9800 , 28 000,,25 000 ,12 000 , 34 000,,29 000 ,13 000 , 39 000,,32 000 ,14 000 , 43 000,,34 000 ,15 000 , 47 000,,35 000 ,15 000 , 49 000,,35 000 ,16 000 , 49 000,,35 000 ,16 000 , 48 000,,35 000 ,16 000 , 47 000,,34 000 ,16 000 , 46 000,,34 000 ,16 000 , 46 000,,33 000 ,16 000 , 45 000,,33 000 ,16 000 , 45 000,,32 000 ,16 000 , 44 000,,31 000 ,15 000 , 43 000,,30 000 ,15 000 , 41 000,,28 000 ,14 000 , 38 000,,26 000 ,14 000 , 36 000,,25 000 ,14 000 , 35 000,,25 000 ,13 000 , 34 000,,24 000 ,13 000 , 33 000,,24 000 ,13 000 , 32 000,,23 000 ,13 000 , 30 000,,21 000 ,12 000 , 28 000,,20 000 ,12 000 , 26 000,,20 000 ,12 000 , 25 000,
Ethiopia,86 000 ,61 000 , 120 000,,110 000 ,75 000 , 150 000,,130 000 ,88 000 , 170 000,,140 000 ,99 000 , 200 000,,150 000 ,110 000 , 210 000,,150 000 ,110 000 , 220 000,,150 000 ,110 000 , 210 000,,140 000 ,99 000 , 200 000,,130 000 ,91 000 , 180 000,,120 000 ,83 000 , 160 000,,110 000 ,75 000 , 150 000,,96 000 ,67 000 , 130 000,,87 000 ,61 000 , 120 000,,80 000 ,56 000 , 110 000,,76 000 ,53 000 , 110 000,,73 000 ,52 000 , 100 000,,72 000 ,51 000 , 100 000,,73 000 ,51 000 , 100 000,,74 000 ,52 000 , 100 000,,76 000 ,54 000 , 110 000,,79 000 ,56 000 , 110 000,,81 000 ,57 000 , 110 000,,84 000 ,59 000 , 120 000,,85 000 ,60 000 , 120 000,,86 000 ,61 000 , 120 000,,86 000 ,61 000 , 120 000,,85 000 ,60 000 , 120 000,,83 000 ,58 000 , 120 000,,80 000 ,56 000 , 110 000,,76 000 ,54 000 , 110 000,,73 000 ,51 000 , 100 000,
Fiji,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,
Finland,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
France,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
