option.id,optiontext.EN,optiontext.FR,optiontext.ES,optiontext.RU
115,5HRE,5HRE,5HRE,5HRE
116,5(HRE),5(HRE),5(HRE),5(HRE)
117,2,2,2,2
118,3-6,3-6,3-6,3-6
119,7,7,7,7
120,Same treatment as non-immigrants,Le même traitement que les non immigrés,Tratamiento idéntico al de los no inmigrantes,Такое же лечение/уход как и для не-иммигрантов
121,Patient must pay for treatment,Le coût du traitement est à la charge du patient,El paciente debe pagar por el tratamiento,Пациент должен оплачивать лечение
122,Treatment for initial phase followed by repatriation,Traitement pendant la phase initiale puis rapatriement,Tratamiento de la fase inicial seguido de repatriación,Репатриация после окончания интенсивной фазы/после абацилирования
123,Immediate repatriation,Rapatriement immédiat,Repatriación inmediata,Немедленная репатриация
126,2HRZES,2HRZES,2HRZES,2HRZES
127,2(HR)ZES,2(HR)ZES,2(HR)ZES,2(HR)ZES
128,2(HRZ)ES,2(HRZ)ES,2(HRZ)ES,2(HRZ)ES
129,2(HRZE)S,2(HRZE)S,2(HRZE)S,2(HRZE)S
130,All diagnostic centres,Toutes les centres diagnostiques,Todos los centros de diagnóstico,Все центры диагностики
131,Cluster sampling,L'échantillonnage en grappes,Muestreo por conglomerado,Кластерная выборка
140,Primary-level hospital,Hôpital de niveau primaire,Hospital de primer nivel,Учреждение первичной медицинской помощи
141,Secondary-level hospital,Hôpital de niveau secondaire,Hospital de segundo nivel,Медицинское учреждение второго уровня
142,Tertiary-level hospital,Hôpital de niveau tertiaire,Hospital de tercer nivel,Медицинское учреждение третьего уровня (учреждение специализированной медицинской помощи)
150,Birthplace,Lieu de naissance,Lugar de nacimiento,По месту рождения
151,Citizenship / nationality,Citoyenneté / nationalité,Ciudadanía / nacionalidad,По гражданству / нициональности (гражданин страны или иностранец)
152,Both (birthplace and citizenship / nationality),Les deux (lieu de naissance et nationalité),Ambos (lugar de nacimiento y ciudadanía / nacionalidad),Учитываются оба критерия (место рождения и гражданство)
160,National,Nationale,Nacional,Охватывает всю страну
161,Partial,Partielle,Parcial,Частичный охват
170,SRL only,LSR seulement,LSR  sólamente,Только супранациональная референс лаборатория
171,NRL only,LNR seulement,LNR  sólamente,Только национальная референс лаборатория
172,All laboratories performing DST,Tous les laboratoires qui effectuent des tests de pharmacosensibilité,Todos los laboratorios que realizan el antibiograma,Все лаборатории проводят ТЧСЛ
173,Network of selected laboratories,Réseau des laboratoires sélectionnés,Red de laboratorios seleccionados,Сеть отобранных лабораторий
175,Interferon Gamma Release Assays (IGRA),Tests de libération d’interféron-gamma (TLIG(IGRA)),Prueba de liberación de Interferon Gamma (IGRA),Интерфероновый тест на туберкулез (ИФН-гамма тест)
176,Tuberculin Skin Test (TST),Test cutané à la tuberculine (TCT),Prueba cutánea de tuberculina (PPD),Туберкулиновая кожная проба
177,IGRA and TST,TLIG(IGRA) et TCT,IGRA y PPD,Оба ИФН-гамма тест и Туберкулиновая кожная проба
180,A standardized regimen (same combination of drugs for all patients),Un schéma thérapeutique standardisé (même combinaison de médicaments pour tous les patients),Un régimen estandarizado (misma combinación de medicamentos para todos los pacientes),Стандартизированный режим (такой же комбинации препаратов для всех больных)
181,An individualized regimen (variable composition depending on patient),Un régime individualisé (composition variable selon le patient),Un régimen individualizado (composición variable dependiendo del paciente),Индивидуальный режим лечения (переменный состава в зависимости от пациента)
182,An empirical regimen (composition based on surveillance data and patient’s treatment history),Un régime empirique (composition en fonction d'antécédents de traitement du patient et résultats de la surveillance de pharmaco-sensibilité),Un régimen empírico (composición basada en los datos de vigilancia y el historial de tratamiento del paciente),Эмпирический режим лечения (основанный на дынных эпиднадзора с стране и истории предыдущего лечения пациента)
183,An individualized regimen (composition based on patient’s treatment history and drug-susceptibility results),Un régime individualisé (composition en fonction des tests de pharmaco-sensibilité du patient et ses antécédents de traitement),Un régimen individualizado (composición basada en la historia de tratamiento del paciente y los resultados de antibiograma),Индивидуализированный режим лечения (основанный истории предыдущего лечения пациента и результатов ТЧЛ)
190,All drugs in use conform to international norms,Tous les médicaments en cours d'utilisation conformes aux normes internationales,Todos los medicamentos en uso cumplen con las normas internacionales,Все препараты в использовании соответствуют международным нормам прозводственной практики
191,Some drugs in use conform to international norms,Certains médicaments utilisés sont conformes aux normes internationales,Algunos medicamentos en uso cumplen con las normas internacionales,Некоторые препараты в использовании соответствуют международным нормам производственной практики
192,All drugs in use conform to national regulatory norms only,Tous les médicaments en cours d'utilisation sont conformes uniquement aux normes nationales de réglementation,Todos los medicamentos en uso cumplen con las normas regulatorias nacionales solamente,Все препараты в использовании соответствуют только национальным нормам производственной практики
193,Drugs used do not conform to national or international norms,Les médicaments utilisés ne sont pas conformes aux normes nationales ou internationales,Los medicamentos usados no cumplen con las normas nacionales o internacionales,Препараты в использовании не соответствуют национальным нормам производственной практики
194,Not used,Non utilisé,No utilizado,Не используются
200,Data have been amended,Les données ont été modifiées,Los datos fueron modificados,Данным были изменены
201,Data have not been amended,Les données n'ont pas été modifiées,Los datos no fueron modificados,Данные не были изменены
205,Given name - family name,Prénom - Nom,Nombre - Apellido,Имя - Фамилия
206,Family name - given name,Nom - Prénom,Apellido - Nombre,Фамилия - Имя
210,Not used by any treatment centre,Non utilisé par aucun centre de traitement,No utilizado por ningún centro de tratamiento,Не используется ни одним лечебным центром
211,Used only by public sector treatment centres,Utilisé uniquement par les centres de traitement du secteur public,Utilizado sólo por los centros de tratamiento del sector público,Используется только лечебными центрами в государственном секторе
212,Used only by private sector treatment centres,Utilisé uniquement par les centres de traitement du secteur privé,Utilizado sólo por centros de tratamiento del sector privado,Используется только лечебными центрами в частном секторе
213,Used by public and private  sector treatment centres,Utilisé par les centres de traitement des secteurs public et privé,Utilizado por centros de tratamiento del sector público y privado,Используется государственными и частными лечебными центрами
220,"0-4, 5-9, 10-14, 15-19, 20-24, 25-34, 35-44, 45-54, 55-64, 65+  (only if you have a national electronic case-based database holding separate records for each individual TB case)","0-4, 5-9, 10-14. 15-19. 20-4. 25-34, 35-44, 45-54, 55-64, 65+ (uniquement si vous avez une base de données électronique au niveau individuel où chaque entrée correspond à un cas de TB)","0-4, 5-9, 10-14, 15-19, 20-24, 25-34, 35-44, 45-54, 55-64, 65+ (solo si tiene una base de datos electrónica nacional basada en casos que contiene registros nominales para cada caso individual de TB)","0-4, 5-9, 10-14, 15-19, 20-24, 25-34, 35-44, 45-54, 55-64, 65+ (только в том случае, если у вас имеется национальная электронная база данных, в которой содержатся  запи"
221,"0-4, 5-14, 15-24, 25-34, 35-44, 45-54, 55-64, 65+","0-4, 5-14, 15-24, 25-34, 35-44, 45-54, 55-64, 65+","0-4, 5-14, 15-24, 25-34, 35-44, 45-54, 55-64, 65+","0-4, 5-14, 15-24, 25-34, 35-44, 45-54, 55-64, 65+"
222,"0-14, 15-24, 25-34, 35-44, 45-54, 55-64, 65+","0-14, 15-24, 25-34, 35-44, 45-54, 55-64, 65+","0-14, 15-24, 25-34, 35-44, 45-54, 55-64, 65+","0-14, 15-24, 25-34, 35-44, 45-54, 55-64, 65+"
223,"0-4, 5-14, 15+","0-4, 5-14, 15+","0-4, 5-14, 15+","0-4, 5-14, 15+"
224,"0-14, 15+","0-14, 15+","0-14, 15+","0-14, 15+"
