country,iso2,year,new.labconf,new.clindx,new.ep,ret.rel.labconf,ret.rel.clindx,ret.rel.ep,ret.nrel,ret.nrel.clindx,c.newunk,c.newinc,c.ret,c.notified,pulm.labconf.new,pulm.labconf.ret,pulm.labconf.unk,notif.foreign,rel.in.agesex.flg,agegroup.option,newrel.m04,newrel.m59,newrel.m1014,newrel.m514,newrel.m014,newrel.m1519,newrel.m2024,newrel.m1524,newrel.m2534,newrel.m3544,newrel.m4554,newrel.m5564,newrel.m65,newrel.m15plus,newrel.mu,newrel.f04,newrel.f59,newrel.f1014,newrel.f514,newrel.f014,newrel.f1519,newrel.f2024,newrel.f1524,newrel.f2534,newrel.f3544,newrel.f4554,newrel.f5564,newrel.f65,newrel.f15plus,newrel.fu,c.new.014,rdx.data.available,newinc.rdx,rdxsurvey.newinc,rdxsurvey.newinc.rdx,gaps.na.tbcases,remarks.tbcases,conf.rr.nfqr,conf.rr.fqr,unconf.rr.nfqr.tx,conf.rr.nfqr.tx,rrmdr.014.tx,conf.rr.fqr.tx,mdrxdr.bdq.used,mdrxdr.bdq.tx,mdrxdr.alloral.used,mdrxdr.alloral.tx,mdr.alloral.short.used,mdr.alloral.short.tx,mdr.tx.adsm,gaps.na.mdr.patients,remarks.mdr.patients,r.rlt.new,r.rlt.ret,rr.new,rr.ret,r.rlt.rel,rr.rel,dst.rlt.new,dst.rlt.ret,dst.rlt.hr.new,dst.rlt.hr.ret,dst.rlt.rr.new,dst.rlt.rr.ret,mdr.new,mdr.ret,rr.dst.rlt.fq,rr.fqr,rr.fqr.bdqr.lzdr,rr.fqr.bdqs.lzdr,rr.fqr.bdqu.lzdr,rr.fqr.bdqr.lzds,rr.fqr.bdqs.lzds,rr.fqr.bdqu.lzds,rr.fqr.bdqr.lzdu,rr.fqr.bdqs.lzdu,rr.fqr.bdqu.lzdu,gaps.na.dr.surveillance,remarks.dr.surveillance,newrel.tbhiv.flg,newrel.hivtest,newrel.hivpos,newrel.art,tbhiv.014.flg,newrel.hivtest.014,newrel.hivpos.014,newrel.art.014,gaps.na.hiv.patients,remarks.hiv.patients,hiv.tbrx.art,hiv.tbrx.art.NA,hiv.tbrx.art.NI.reason,hiv.tbrx.art.remarks,hiv.tbdetect,hiv.reg.new2,hiv.tbdetect.hiv.reg.new2.NA,hiv.tbdetect.hiv.reg.new2.NI.reason,hiv.tbdetect.hiv.reg.new2.remarks,hiv.new.tpt,hiv.new,hiv.all.tpt,hiv.all,hiv.tpt.eligible.start.NA,hiv.tpt.eligible.start.NI.reason,hiv.tpt.eligible.start.remarks,hiv.all.tpt.completed,hiv.all.tpt.started,hiv.tpt.completed.NA,hiv.tpt.completed.NI.reason,hiv.tpt.completed.remarks,hiv.unaids.date.exported,tbhiv.surveil,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.surv.cil,tbhiv.surv.ciu,tbhiv.sentin.prev,tbhiv.sentin.yr,tbhiv.sentin.cil,tbhiv.sentin.ciu,gaps.na.nonroutine.hiv,remarks.nonroutine.hiv,total.deaths.vr,r00.r99.deaths.vr,tbdeaths.vr,gaps.na.tbdeaths,remarks.tbdeaths
Austria,AT,2021,251,20,102,11,1,2,9,3,373,387,23,396,190,17,61,252,1,220,2,2,3,,,21,25,,43,31,38,39,56,253,0,3,2,2,,,3,9,,28,23,19,7,31,120,0,14,60,281,,,,Data extracted from ECDC/TESSy 2022-08-26,7,2,0,0,0,0,,,,,,,,,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. ,165,12,8,0,,,164,12,22,1,8,0,8,0,8,1,0,0,0,0,0,1,0,0,0,1,Data extracted from ECDC/TESSy 2022-08-26,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Australia,AU,2021,721,102,593,31,3,18,0,,1416,1468,52,1468,715,31,6,1332,1,222,,,,,16,,,114,202,121,89,83,156,765,6,,,,,18,,,97,199,129,67,74,92,658,5,34,0,,,,0,"Total cases = 1,470 however 2 cases were excluded as pulmonary/extra pulmonary site was not reported.

Unknown cases (2.9) includes cases for whom sex and age was not recorded and where treatment history was unknown.",21,3,0,18,0,3,1,21,1,13,1,4,20,0,,597,22,9,3,,,597,22,47,5,9,3,7,3,12,1,0,0,0,0,0,0,0,0,1,0,See general remarks,1,1311,15,,,,,,1,See general remarks,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,See general remarks,,,,,
Aruba,AW,2021,6,0,0,,,,0,,6,6,0,6,6,0,0,3,0,222,,,,,0,,,0,0,0,0,2,2,4,,,,,,0,,,0,0,1,0,1,0,2,,0,0,,,,1,,0,0,0,0,0,0,3,,,,3,,0,1,,6,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,,0,0,0,0,1,0,0,0,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Azerbaijan,AZ,2021,1466,556,513,990,96,42,1281,104,2535,3663,2409,4944,1466,2168,,,0,221,12,,,29,,,,331,335,292,272,294,115,1639,,7,,,29,,,,182,219,114,91,137,76,819,,77,60,3125,,,1,,869,171,2,798,10,164,1,949,1,688,1,112,964,0,,1409,2159,172,487,985,133,1409,2159,205,450,172,487,113,276,592,114,7,16,,8,67,,,,16,1,,0,4448,92,90,,,,,0,,63,0,,,37,662,0,,,,,,,0,Record removed by UNAIDS,,343,620,0,,,2022-08-26,0,,,,,,,,,1,,,,,,
Bosnia and Herzegovina,BA,2021,261,48,21,24,8,0,1,0,330,362,33,363,261,24,0,10,1,220,0,0,0,,,5,21,,36,26,39,44,55,226,0,0,0,1,,,7,17,,9,14,17,16,55,135,0,1,60,1,,,0,"2.10 Answer NO was given by FBIH. 
2.11 Data provided by RS.",1,,0,1,0,,0,,0,,1,1,0,1,"2.17 Data refer to FBIH.
2.21 Response refers to FBIH and RS.
2.23 Answer provided by FBIH.
2.25 Answer YES was provided by FBIH, while answer NO was provided by RS. 
2.26. Answer refers to FBIH.",255,24,1,1,,,255,24,0,0,1,1,,,0,0,,,,,,,,,,1,,,,,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,1,"Answer to question 3.1a was provided by FBIH and RS. 
Answers to questions 3.1b and 3.1c were provided by FBIH.
Answer to question 3.2 was provided by RS.
",,,,1,
Barbados,BB,2021,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,220,0,0,0,,,0,0,,0,1,0,0,0,1,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,60,1,,,0,Only one case in 2021. It was bacteriologically diagnosed.,0,0,0,0,0,0,0,,1,0,0,,0,0,We had no drug resistance case.,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We do not have any drug resistance case.,0,0,0,0,1,0,0,0,0,We do not have any TB/HIV co infection.,0,0,,,0,53,0,,,0,53,0,1439,0,,,0,0,0,,,2022-08-26,0,,,,,,,,,0,No non-routine surveillance of HIV prevalence in TB patients,,,,,
Bangladesh,BD,2021,190460,45325,55994,7675,4993,2254,860,,291779,306701,15782,307561,190455,8344,5,0,1,221,596,,,4304,,,,14469,20706,24379,30121,33790,38290,161755,8,416,,,5111,,,,18707,24791,27189,27147,21652,15019,134505,6,10427,60,73968,,,0,,1495,106,0,1384,22,104,1,817,1,23,1,676,1481,0,,82924,8119,1108,420,7675,217,0,0,0,0,0,0,0,0,652,94,,,,,,,,,,1,,0,19656,106,102,,,,,0,,,0,Record removed by UNAIDS,,51,642,0,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Belgium,BE,2021,518,52,247,,,,58,2,817,817,58,875,437,34,81,549,1,220,6,2,15,,,55,90,,113,79,76,50,69,532,0,6,2,10,,,14,23,,83,49,28,16,31,244,0,41,60,586,,,,Data extracted from ECDC/TESSy 2022-08-26,8,0,0,8,0,0,1,8,1,4,1,3,8,0,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. ,377,24,3,2,,,375,24,19,5,3,2,3,2,5,0,0,0,0,0,0,0,0,0,0,1,Data extracted from ECDC/TESSy 2022-08-26,1,428,24,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,108745,8410,39,0,figures for year 2019 (latest available)
Burkina Faso,BF,2021,4536,1024,991,253,60,18,312,,6551,6882,643,7194,4523,288,13,,,221,42,,,69,,,,520,1317,1310,847,598,461,5053,,37,,,65,,,,260,335,345,294,206,176,1616,,213,60,3042,,,1,Une discordance ,82,3,0,75,0,3,1,78,1,0,1,75,78,0,,3042,183,72,10,,,52,9,50,9,51,9,49,9,61,3,0,0,0,0,0,0,0,0,3,1,,1,6668,385,367,,,,,1,Un doublon de 18 cas a été identifié et supprimé,385,0,,,,,0,Record removed by UNAIDS,,,,6441,74340,0,,"ENDOS BF
",,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Bulgaria,BG,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,478,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,15,1,
Bahrain,BH,2021,119,6,71,0,0,0,0,,196,196,0,196,119,0,,162,0,221,0,,,1,,,,8,31,46,27,11,7,130,,0,,,0,,,,11,22,15,12,5,0,65,,1,60,182,,,0,,1,0,0,1,0,0,0,,3,,3,,,1,,112,0,1,0,,,112,0,0,0,1,0,0,0,0,0,,,,,,,,,,0,,1,144,5,1,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Burundi,BI,2021,4090,600,1710,230,75,83,86,,6400,6788,474,6874,4090,230,0,0,1,221,54,,,114,,,,511,1115,1009,782,563,445,4425,0,33,,,89,,,,386,510,413,271,244,249,2073,0,290,60,3387,,,0,"L'intérpretation du point 2.11 prête confusion pour certains. En effet, ces derniers prennent comme dénominateur tous les patients tuberculeux enregistrés au cours de la période, d'autres prennent la somme de 2.1 & 2.3, d'autres encore excluent les extrapulmonaires,car non testés au Xpert MTB/RIF. 
Bref, une assistance technique de l'OMS nous serait d'une importance capitale.  ",46,0,0,46,0,0,0,,0,,0,,46,1,"Tous les patients TB/RR enregistrés en 2021 ont un âge > à 15 ans
Le traitement avec Bédaquiline est envisagé pour cette année. ",1272,25,44,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Les tests de sensibilité de 1ère et 2ème lignes n'ont pas été faits au cours de l'année 2021.,1,6759,387,387,,,,,0,"La mise à jour effectuée par rapport aux données 2020, fait suite au message mail OMS transmis en Février 2022 qui a prêté confusion. A cette occasion,les données de 2020 avaient été effacées au détriment de celles de l'année 2021.  
Le rapport 2021 du Programme TB fait état de 249 PVVIH connues,qui ont développé la tuberculose et 138 Tuberculeux testés VIH positifs grâce au dépistage VIH initié par le prestataire.",,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,L'enquête de pharmacorésistance est en cours de réalisation. Elle a commencé en juillet 2021,,,,,
Benin,BJ,2021,3010,347,202,152,0,0,53,,3559,3711,205,3764,3010,205,0,0,1,221,32,,,43,,,,342,597,599,444,245,169,2396,0,19,,,44,,,,253,316,284,165,95,64,1177,0,138,60,2782,,,1,,34,0,0,29,0,0,0,,0,,0,,29,1,,2647,205,29,5,,,21,93,10,13,18,3,10,1,24,0,,,,,,,,,,1,,1,3645,495,477,,,,,1,,,0,Record removed by UNAIDS,,477,6392,0,,,,,,,1,,,,,0,Record removed by UNAIDS,,2022-08-26,0,,,,,,,,,1,,,,,,
Bermuda,BM,2021,2,0,0,0,0,0,0,,2,2,0,2,2,0,0,2,1,220,0,0,0,,,0,0,,0,0,1,0,0,1,0,0,0,0,,,0,0,,1,0,0,0,0,1,0,0,60,0,,,0,2.8 There were no relapse cases recorded in 2021,0,0,0,0,0,0,0,,0,,0,,0,0,,2,0,0,0,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,There were no pre-XDR nor XDR-TB cases reported in 2021,1,2,0,0,1,0,0,0,0,There were no TB patients aged 0-14 years in 2021,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Brunei Darussalam,BN,2021,162,13,40,14,0,6,0,,215,235,20,235,162,14,0,71,1,220,1,0,0,,,5,7,,19,21,30,27,33,142,0,0,0,0,,,7,9,,19,12,15,13,17,92,0,1,0,,,,1,,0,0,0,0,0,0,0,,0,,0,,0,0,,162,14,0,0,,,162,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,235,4,4,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Bolivia (Plurinational State of),BO,2021,5107,362,1227,357,0,18,127,,6696,7071,502,7198,5107,481,0,0,1,221,22,,,101,,,,979,931,614,556,561,711,4352,0,22,,,85,,,,594,565,311,293,304,422,2489,0,230,60,5157,,,0,,141,0,0,94,6,0,0,,0,,0,,94,0,,5085,811,92,28,,,296,303,51,21,55,12,37,7,75,0,0,0,0,0,0,0,0,0,0,0,,0,6239,278,,0,,,,1,,,1,,"Las estimaciones de personas coinfectadas son preliminares, son producto de la revisión conjunta de los registros de VIH y TB.
",274,2736,0,,"Los datos presentados respecto al número de coinfectados son preliminares, son producto de la revisión de registros tanto de VIH como de TB; incluye PVVS tanto antiguas como nuevas, por lo que puede existir cierto sesgo en el cálculo del indicador.
",,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Brazil,BR,2021,48694,14896,8976,4500,1325,442,9266,,72566,78833,15533,88099,48336,10959,358,539,1,220,550,237,403,,,2271,6593,,13300,10561,8494,6783,5427,53429,28,351,203,502,,,1681,2603,,4847,4368,3688,2914,3017,23118,12,2246,60,32531,,,1,,1039,68,43,794,9,68,1,206,1,131,0,,0,1,,24394,6057,538,303,,,5468,1553,237,116,144,104,41,46,,,,,,,,,,,,1,"2.36 and 2.37: The Brazilian information system doesn´t have this information for all RR-TB. This information is just available in MDR-TB information system

2.38 to 2.42:bedaquiline and linezolid testing is not available in Brazil",1,63004,6870,3551,1,1440,55,26,1,2.46: The TB information system in Brazil is very dynamic and the database is often qualified. ,3024,0,,,,,1,,"We only have the total number of reported tuberculosis cases that were simultaneously infected with HIV.
We can not, based on our information system, know if they are new cases of HIV/AIDS.
",,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,1,,,,,,
Bahamas,BS,2021,12,32,0,0,0,0,0,,44,44,0,44,12,0,0,15,,220,1,0,0,,,0,0,,7,4,8,12,2,33,0,1,0,0,,,1,0,,4,1,0,1,2,9,0,2,60,14,,,1,No Relapse cases identified in 2021,0,0,0,0,0,0,0,,0,,0,,0,0,,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,The majority of sputum specimens were outsourced to the regional reference lab-CARPHA. The National laboratory responsible for TB testing was unable to perform these tests and subsequent sensitivity testing due to the absence of a Biosafety Cabinet.,1,42,14,14,1,3,0,,1,not applicable,14,0,,,8,308,0,,,0,308,0,3047,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Bhutan,BT,2021,433,47,308,31,7,28,4,,788,854,70,858,433,34,0,8,1,221,1,,,7,,,,123,97,43,47,28,47,385,0,0,,,8,,,,184,128,51,36,20,34,453,0,16,60,528,,,0,,55,3,0,55,1,1,1,55,1,17,1,38,55,0,,419,26,44,1,,,385,23,48,1,39,0,36,0,37,3,,,,,,,,,3,1,"In 2.28, there is no provision for entering Extra-pulmonary TB cases tested for RIF. Total of 10 RR/MDR-TB was diagnosed among EPTB cases (8 New & 2 previously treated case) and is not included in line 2.29.",1,854,3,3,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Botswana,BW,2021,1290,731,276,31,16,6,18,,2297,2350,71,2368,1206,37,84,89,1,220,27,14,20,,,49,112,,266,366,269,169,179,1410,0,35,10,16,,,66,101,,223,191,110,75,70,836,0,122,60,1325,,,0,,15,0,0,35,0,0,1,35,1,35,0,,35,0,ALL DR-TB PATIENTS ARE TAKING A REGIMEN CONTAINING BEDAQUELINE EVEN THOUGH THE COUNTRY IS STILL USING LONGER REGIMEN,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,2176,974,885,1,96,12,11,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Belarus,BY,2021,1032,47,97,300,2,6,212,13,1176,1484,520,1696,1032,499,0,0,1,220,2,0,2,,,6,25,,111,288,313,269,119,1131,0,0,1,0,,,7,13,,40,90,45,58,95,348,0,5,60,1401,,,0,,491,310,1,451,1,276,1,684,1,158,1,294,727,0,,1032,499,390,367,300,207,1032,499,416,373,390,367,341,354,757,310,,,,,,,,,,1,В E2.DRS3-E2.DRS6 представлены данные только по НРЛ,1,1484,128,111,,,,,0,,109,0,,"Статистические данные Министерства здравоохранения Республики Беларусь
",54,1772,0,,,1128,1772,1128,19888,0,,"Статистические данные Министерства здравоохранения Республики Беларусь
",,,0,Record removed by UNAIDS,,2022-08-26,0,,,,,,,,,0,,,,109,1,
Belize,BZ,2021,51,8,3,8,2,0,0,,62,72,10,72,51,8,0,11,1,220,0,0,0,,,1,3,,5,10,14,11,5,49,0,0,2,0,,,3,5,,8,1,3,1,0,21,0,2,60,57,,,1,,1,0,1,1,0,0,1,1,0,,1,1,0,1,,46,6,0,1,,,46,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,1,60,15,15,1,1,1,1,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
