variable.name,display.section,definition,code.list,lag,source,validity.years,notes,calculation,display.via.web
bf_ctbc_gf,finance,Community-based care    4 GFATM,,1,"Finance, Data collection form",,,,0
bf_ctbc_gov,finance,Community-based care    2 Gov,,1,"Finance, Data collection form",,,,0
bf_ctbc_grnt,finance,Community-based care    5 Grants,,1,"Finance, Data collection form",,,,0
bf_ctbc_loan,finance,Community-based care    3 Loans,,1,"Finance, Data collection form",,,,0
bf_ctbc_req,finance,Community-based care    1 Required,,1,"Finance, Data collection form",,,,0
bf_fld_gap,finance,Budget 1 TbDrugs   6 Gap,,1,"Finance, Data collection form",,,,0
bf_fld_gf,finance,Budget 1 TbDrugs   4 GFATM,,1,"Finance, Data collection form",,,,0
bf_fld_gov,finance,Budget 1 TbDrugs   2 Gov,,1,"Finance, Data collection form",,,,0
bf_fld_grnt,finance,Budget 1 TbDrugs   5 Grants,,1,"Finance, Data collection form",,,,0
bf_fld_loan,finance,Budget 1 TbDrugs   3 Loans,,1,"Finance, Data collection form",,,,0
bf_fld_req,finance,Budget 1 TbDrugs   1 Required,,1,"Finance, Data collection form",,,,0
bf_initiativ_gap,finance,Initiative    6 Gap,,1,"Finance, Data collection form",,,,0
bf_initiativ_gf,finance,Initiative    4 GFATM,,1,"Finance, Data collection form",,,,0
bf_initiativ_gov,finance,Initiative    2 Gov,,1,"Finance, Data collection form",,,,0
bf_initiativ_grnt,finance,Initiative    5 Grants,,1,"Finance, Data collection form",,,,0
bf_initiativ_loan,finance,Initiative    3 Loans,,1,"Finance, Data collection form",,,,0
bf_initiativ_req,finance,Initiative     1 Required,,1,"Finance, Data collection form",,,,0
bf_lab_gap,finance,lab supplies and equipment    6 Gap,,1,"Finance, Data collection form",,,,0
bf_lab_gf,finance,lab supplies and equipment    4 GFATM,,1,"Finance, Data collection form",,,,0
bf_lab_gov,finance,lab supplies and equipment    2 Gov,,1,"Finance, Data collection form",,,,0
bf_lab_grnt,finance,lab supplies and equipment    5 Grants,,1,"Finance, Data collection form",,,,0
bf_lab_loan,finance,lab supplies and equipment    3 Loans,,1,"Finance, Data collection form",,,,0
bf_lab_req,finance,lab supplies and equipment     1 Required,,1,"Finance, Data collection form",,,,0
bf_mdrmgt_gap,finance,mgm. of MDR-TB    6 Gap,,1,"Finance, Data collection form",,,,0
bf_mdrmgt_gf,finance,mgm. of MDR-TB    4 GFATM,,1,"Finance, Data collection form",,,,0
bf_mdrmgt_gov,finance,mgm. of MDR-TB    2 Gov,,1,"Finance, Data collection form",,,,0
bf_mdrmgt_grnt,finance,mgm. of MDR-TB    5 Grants,,1,"Finance, Data collection form",,,,0
bf_mdrmgt_loan,finance,mgm. of MDR-TB    3 Loans,,1,"Finance, Data collection form",,,,0
bf_mdrmgt_req,finance,mgm. of MDR-TB    1 Required,,1,"Finance, Data collection form",,,,0
bf_or_gap,finance,operational research    6 Gap,,1,"Finance, Data collection form",,,,0
bf_or_gf,finance,operational research    4 GFATM,,1,"Finance, Data collection form",,,,0
bf_or_gov,finance,operational research    2 Gov,,1,"Finance, Data collection form",,,,0
bf_or_grnt,finance,operational research    5 Grants,,1,"Finance, Data collection form",,,,0
bf_or_loan,finance,operational research    3 Loans,,1,"Finance, Data collection form",,,,0
bf_or_req,finance,operational research    1 Required,,1,"Finance, Data collection form",,,,0
bf_oth_gap,finance,Budget 7 Other     6 Gap,,1,"Finance, Data collection form",,,,0
bf_oth_gf,finance,Budget 7 Other     4 GFATM,,1,"Finance, Data collection form",,,,0
bf_oth_gov,finance,Budget 7 Other     2 Gov,,1,"Finance, Data collection form",,,,0
bf_oth_grnt,finance,Budget 7 Other     5 Grants,,1,"Finance, Data collection form",,,,0
bf_oth_loan,finance,Budget 7 Other     3 Loans,,1,"Finance, Data collection form",,,,0
bf_oth_req,finance,Budget 7 Other     1 Required,,1,"Finance, Data collection form",,,,0
bf_pal_gap,finance,PAL    6 Gap,,1,"Finance, Data collection form",,,,0
bf_pal_gf,finance,PAL    4 GFATM,,1,"Finance, Data collection form",,,,0
bf_pal_gov,finance,PAL    2 Gov,,1,"Finance, Data collection form",,,,0
bf_pal_grnt,finance,PAL    5 Grants,,1,"Finance, Data collection form",,,,0
bf_pal_loan,finance,PAL    3 Loans,,1,"Finance, Data collection form",,,,0
bf_pal_req,finance,PAL    1 Required,,1,"Finance, Data collection form",,,,0
bf_ppm_gap,finance,PPM    6 Gap,,1,"Finance, Data collection form",,,,0
bf_ppm_gf,finance,PPM    4 GFATM,,1,"Finance, Data collection form",,,,0
bf_ppm_gov,finance,PPM    2 Gov,,1,"Finance, Data collection form",,,,0
bf_ppm_grnt,finance,PPM    5 Grants,,1,"Finance, Data collection form",,,,0
bf_ppm_loan,finance,PPM    3 Loans,,1,"Finance, Data collection form",,,,0
bf_ppm_req,finance,PPM    1 Required,,1,"Finance, Data collection form",,,,0
bf_ppmpal_gap,finance,PPM and PAL    6 Gap,,1,"Finance, Data collection form",,,,0
bf_ppmpal_gf,finance,PPM and PAL    4 GFATM,,1,"Finance, Data collection form",,,,0
bf_ppmpal_gov,finance,PPM and PAL    2 Gov,,1,"Finance, Data collection form",,,,0
bf_ppmpal_grnt,finance,PPM and PAL    5 Grants,,1,"Finance, Data collection form",,,,0
bf_ppmpal_loan,finance,PPM and PAL    3 Loans,,1,"Finance, Data collection form",,,,0
bf_ppmpal_req,finance,PPM and PAL     1 Required,,1,"Finance, Data collection form",,,,0
bf_prgmgt_gap,finance,routine prg mgm and supervision    6 Gap,,1,"Finance, Data collection form",,,,0
bf_prgmgt_gf,finance,routine prg mgm and supervision    4 GFATM,,1,"Finance, Data collection form",,,,0
bf_prgmgt_gov,finance,routine prg mgm and supervision    2 Gov,,1,"Finance, Data collection form",,,,0
bf_prgmgt_grnt,finance,routine prg mgm and supervision    5 Grants,,1,"Finance, Data collection form",,,,0
bf_prgmgt_loan,finance,routine prg mgm and supervision    3 Loans,,1,"Finance, Data collection form",,,,0
bf_prgmgt_req,finance,routine prg mgm and supervision     1 Required,,1,"Finance, Data collection form",,,,0
bf_sld_gap,finance,Budget 2 2ndLine   6 Gap,,1,"Finance, Data collection form",,,,0
bf_sld_gf,finance,Budget 2 2ndLine   4 GFATM,,1,"Finance, Data collection form",,,,0
bf_sld_gov,finance,Budget 2 2ndLine   2 Gov,,1,"Finance, Data collection form",,,,0
bf_sld_grnt,finance,Budget 2 2ndLine   5 Grants,,1,"Finance, Data collection form",,,,0
bf_sld_loan,finance,Budget 2 2ndLine   3 Loans,,1,"Finance, Data collection form",,,,0
bf_sld_req,finance,Budget 2 2ndLine   1 Required,,1,"Finance, Data collection form",,,,0
bf_srvy_gap,finance,Surveys  6 Gap,,1,"Finance, Data collection form",,,,0
bf_srvy_gf,finance,Surveys  4 GFATM,,1,"Finance, Data collection form",,,,0
bf_srvy_gov,finance,Surveys   2 Gov,,1,"Finance, Data collection form",,,,0
bf_srvy_grnt,finance,Surveys  5 Grants,,1,"Finance, Data collection form",,,,0
bf_srvy_loan,finance,Surveys  3 Loans,,1,"Finance, Data collection form",,,,0
bf_srvy_req,finance,Surveys  1 Required,,1,"Finance, Data collection form",,,,0
bf_staff_gap,finance,Budget 3 Staff     6 Gap,,1,"Finance, Data collection form",,,,0
bf_staff_gf,finance,Budget 3 Staff     4 GFATM,,1,"Finance, Data collection form",,,,0
bf_staff_gov,finance,Budget 3 Staff     2 Gov,,1,"Finance, Data collection form",,,,0
bf_staff_grnt,finance,Budget 3 Staff     5 Grants,,1,"Finance, Data collection form",,,,0
bf_staff_loan,finance,Budget 3 Staff     3 Loans,,1,"Finance, Data collection form",,,,0
bf_staff_req,finance,Budget 3 Staff     1 Required,,1,"Finance, Data collection form",,,,0
bf_tbhiv_gap,finance,Budget 5 TBHIV     6 Gap,,1,"Finance, Data collection form",,,,0
bf_tbhiv_gf,finance,Budget 5 TBHIV     4 GFATM,,1,"Finance, Data collection form",,,,0
bf_tbhiv_gov,finance,Budget 5 TBHIV     2 Gov,,1,"Finance, Data collection form",,,,0
bf_tbhiv_grnt,finance,Budget 5 TBHIV     5 Grants,,1,"Finance, Data collection form",,,,0
bf_tbhiv_loan,finance,Budget 5 TBHIV     3 Loans,,1,"Finance, Data collection form",,,,0
bf_tbhiv_req,finance,Budget 5 TBHIV     1 Required,,1,"Finance, Data collection form",,,,0
bf_tot_gap,finance,Budget 8 Total     6 Gap,,1,"Finance, Data collection form",,,,0
bf_tot_gf,finance,Budget 8 Total     4 GFATM,,1,"Finance, Data collection form",,,,0
bf_tot_gov,finance,Budget 8 Total     2 Gov,,1,"Finance, Data collection form",,,,0
bf_tot_grnt,finance,Budget 8 Total     5 Grants,,1,"Finance, Data collection form",,,,0
bf_tot_loan,finance,Budget 8 Total     3 Loans,,1,"Finance, Data collection form",,,,0
bf_tot_req,finance,Budget 8 Total     1 Required,,1,"Finance, Data collection form",,,,0
bf_tot_usaid,finance,Total expected funding from USAID (out of total expected funding in bf_tot_grnt),,0,"Finance, Data collection form",2012-,Introduced 2013 data collection round,,0
bf_tx_mdr_glc,finance,"GLC, MDR expected to be treat. (final)",,1,"Finance, Data collection form",,,,0
bf_tx_mdr_oth,finance,"Other, MDR expected to be treat. (final)",,1,"Finance, Data collection form",,,,0
bf_tx_snep,finance,"Expected cases, new smear-negative",,1,"Finance, Data collection form",,,,0
bf_tx_sp,finance,"Expected cases, new smear-positive",,1,"Finance, Data collection form",,,,0
bf_tx_tbhiv_art,finance,TB pts expected to start ART (final),,1,"Finance, Data collection form",,,,0
bmu,Community engagement,Number of TB Basic Management Units in the country,,0,"Strategy, Data collection form","stopped around 2011, resurrected 2014 when adopted by community egagement",,,1
bmu_community_impl,Community engagement,Number of TB Basic Management Units which implemented community-based referrals or any form of community treatment adherence support,,,"Strategy, Data collection form",2015 -,,,1
bmu_mdr,Strategy,Number of TB basic management units with at least one facility providing curative services for MDR-TB patients,,0,"Strategy, Data collection form",2010 -,,,0
bmu_ref_data,Community engagement,Number of Basic Management Units with data on referrals by community health workers / community volunteers,,,"Strategy, Data collection form",2014 -,,,1
bmu_refsrc_txloc_data,Strategy,Number of Basic Management Units providing data on source of patient referral and place of patient treatment,,0,"Strategy, Data collection form",,NEW VARIABLE,,0
bmu_rxsupport_data,Community engagement,Number of Basic Management Units with data on community treatment adherence support,,,"Strategy, Data collection form",2014 -,Record in wrong place because refers to year 2 years before the data collection year!,,1
bmu_rxsupport_data_coh,Community engagement,Total number of patients who started TB treatment in the Basic Management Units with data on community treatment adherence support,,,"Strategy, Data collection form",2014 -,Record in wrong place because refers to year 2 years before the data collection year!,,1
bp_acsm_gap,finance,ACSM    6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_acsm_gf,finance,ACSM    4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_acsm_gov,finance,ACSM    2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_acsm_grnt,finance,ACSM    5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_acsm_loan,finance,ACSM    3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_acsm_req,finance,ACSM    1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_ctbc_gap,finance,Community-based care    6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_ctbc_gf,finance,Community-based care    4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_ctbc_gov,finance,Community-based care    2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_ctbc_grnt,finance,Community-based care    5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_ctbc_loan,finance,Community-based care    3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_ctbc_req,finance,Community-based care    1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_fld_gap,finance,Budget 1 TbDrugs   6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_fld_gf,finance,Budget 1 TbDrugs   4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_fld_gov,finance,Budget 1 TbDrugs   2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_fld_grnt,finance,Budget 1 TbDrugs   5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_fld_loan,finance,Budget 1 TbDrugs   3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_fld_req,finance,Budget 1 TbDrugs   1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_lab_gap,finance,lab supplies and equipment    6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_lab_gf,finance,lab supplies and equipment    4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_lab_gov,finance,lab supplies and equipment    2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_lab_grnt,finance,lab supplies and equipment    5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_lab_loan,finance,lab supplies and equipment    3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_lab_req,finance,lab supplies and equipment    1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_mdrmgt_gap,finance,mgm. of MDR-TB    6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_mdrmgt_gf,finance,mgm. of MDR-TB    4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_mdrmgt_gov,finance,mgm. of MDR-TB    2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_mdrmgt_grnt,finance,mgm. of MDR-TB    5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_mdrmgt_loan,finance,mgm. of MDR-TB    3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_mdrmgt_req,finance,mgm. of MDR-TB    1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_or_gap,finance,operational research    6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_or_gf,finance,operational research    4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_or_gov,finance,operational research    2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_or_grnt,finance,operational research    5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_or_loan,finance,operational research    3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_or_req,finance,operational research    1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_oth_gap,finance,Budget 7 Other     6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_oth_gf,finance,Budget 7 Other     4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_oth_gov,finance,Budget 7 Other     2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_oth_grnt,finance,Budget 7 Other     5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_oth_loan,finance,Budget 7 Other     3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_oth_req,finance,Budget 7 Other     1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_pal_gap,finance,PAL    6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_pal_gf,finance,PAL    4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_pal_gov,finance,PAL    2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_pal_grnt,finance,PAL    5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_pal_loan,finance,PAL    3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_pal_req,finance,PAL    1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_ppm_gap,finance,PPM    6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_ppm_gf,finance,PPM    4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_ppm_gov,finance,PPM    2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_ppm_grnt,finance,PPM    5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_ppm_loan,finance,PPM    3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_ppm_req,finance,PPM    1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_prgmgt_gap,finance,routine prg mgm and supervision    6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_prgmgt_gf,finance,routine prg mgm and supervision    4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_prgmgt_gov,finance,routine prg mgm and supervision    2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_prgmgt_grnt,finance,routine prg mgm and supervision    5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_prgmgt_loan,finance,routine prg mgm and supervision    3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_prgmgt_req,finance,routine prg mgm and supervision    1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_sld_gap,finance,Budget 2 2ndLine   6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_sld_gf,finance,Budget 2 2ndLine   4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_sld_gov,finance,Budget 2 2ndLine   2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_sld_grnt,finance,Budget 2 2ndLine   5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_sld_loan,finance,Budget 2 2ndLine   3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_sld_req,finance,Budget 2 2ndLine   1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_srvy_gap,finance,Surveys  6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_srvy_gf,finance,Surveys  4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_srvy_gov,finance,Surveys   2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_srvy_grnt,finance,Surveys  5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_srvy_loan,finance,Surveys  3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_srvy_req,finance,Surveys  1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_staff_gap,finance,Budget 3 Staff     6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_staff_gf,finance,Budget 3 Staff     4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_staff_gov,finance,Budget 3 Staff     2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_staff_grnt,finance,Budget 3 Staff     5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_staff_loan,finance,Budget 3 Staff     3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_staff_req,finance,Budget 3 Staff     1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_tbhiv_gap,finance,Budget 5 TBHIV     6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_tbhiv_gf,finance,Budget 5 TBHIV     4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_tbhiv_gov,finance,Budget 5 TBHIV     2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_tbhiv_grnt,finance,Budget 5 TBHIV     5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_tbhiv_loan,finance,Budget 5 TBHIV     3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_tbhiv_req,finance,Budget 5 TBHIV     1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_tot_gap,finance,Budget 8 Total     6 Gap Pr,,2,"Finance, Data collection form",,,,0
bp_tot_gf,finance,Budget 8 Total     4 GFATM Pr,,2,"Finance, Data collection form",,,,0
bp_tot_gov,finance,Budget 8 Total     2 Gov Pr,,2,"Finance, Data collection form",,,,0
bp_tot_grnt,finance,Budget 8 Total     5 Grants Pr,,2,"Finance, Data collection form",,,,0
bp_tot_loan,finance,Budget 8 Total     3 Loans Pr,,2,"Finance, Data collection form",,,,0
bp_tot_req,finance,Budget 8 Total     1 Required Pr,,2,"Finance, Data collection form",,,,0
bp_tx_mdr_glc,finance,"GLC, MDR expected to be treat. Pr",,2,"Finance, Data collection form",,,,0
bp_tx_mdr_oth,finance,"Other, MDR expected to be treat. Pr",,2,"Finance, Data collection form",,,,0
bp_tx_snep,finance,"Expected cases, new smear-negative Pr",,2,"Finance, Data collection form",,,,0
bp_tx_sp,finance,"Expected cases, new smear-positive Pr",,2,"Finance, Data collection form",,,,0
bp_tx_tbhiv_art,finance,TB pts expected to start ART Pr,,2,"Finance, Data collection form",,,,0
brdn_crc,Strategy,"Have capture-recapture studies been used, or will they be used, to assess the epidemiological burden of TB and the impact of TB control?",0=No; 1=yes,0,"Strategy, Data collection form",,NEW VARIABLE,,0
brdn_crc_nxt,Strategy,Year of next capture-recapture study,,0,"Strategy, Data collection form",,NEW VARIABLE,,0
brdn_crc_rcnt,Strategy,Year of most recent capture-recapture study,,0,"Strategy, Data collection form",,NEW VARIABLE,,0
brdn_disease,Strategy,"Have population-based prevalence of disease surveys been used, or will they be used, to assess the epidemiological burden of TB and the impact of TB control?",17=Yes national; 18=Yes subnational; 0=No,0,"Strategy, Data collection form",,,,0
brdn_disease_nxt,Strategy,Year of next population-based prevalence of disease survey,,0,"Strategy, Data collection form",,,,0
brdn_disease_rcnt,Strategy,Year of most recent population-based prevalence of disease survey,,0,"Strategy, Data collection form",,,,0
brdn_infect,Strategy,"Have population-based prevalence of infection surveys been used, or will they be used, to assess the epidemiological burden of TB and the impact of TB control?",17=Yes national; 18=Yes subnational; 0=No,0,"Strategy, Data collection form",,,,0
brdn_infect_nxt,Strategy,Year of next population-based prevalence of infection survey,,0,"Strategy, Data collection form",,,,0
brdn_infect_rcnt,Strategy,Year of most recent population-based prevalence of infection survey,,0,"Strategy, Data collection form",,,,0
brdn_mort,Strategy,"Have population-based mortality surveys  been used, or will they be used, to assess the epidemiological burden of TB and the impact of TB control?",0=No; 1=yes,0,"Strategy, Data collection form",,,,0
brdn_mort_nxt,Strategy,Year of next population-based mortality survey,,0,"Strategy, Data collection form",,,,0
brdn_mort_rcnt,Strategy,Year of most recent population-based mortality survey,,0,"Strategy, Data collection form",,,,0
brdn_surveil,Strategy,"Has in-depth analysis of routine surveillance data been used, or will it be used, to assess the epidemiological burden of TB and the impact of TB control?",0=No; 1=yes,0,"Strategy, Data collection form",,,,0
brdn_surveil_nxt,Strategy,Year of next in-depth analysis of routine surveillance data,,0,"Strategy, Data collection form",,,,0
brdn_surveil_rcnt,Strategy,Year of most recent in-depth analysis of routine surveillance data,,0,"Strategy, Data collection form",,,,0
brdn_vitalreg,Strategy,"Has analysis of vital registration mortality data been used, or will it be used, to assess the epidemiological burden of TB and the impact of TB control?",0=No; 1=yes,0,"Strategy, Data collection form",,,,0
brdn_vitalreg_nxt,Strategy,Year of next analysis of vital registration mortality data,,0,"Strategy, Data collection form",,,,0
brdn_vitalreg_rcnt,Strategy,Year of most recent analysis of vital registration mortality data,,0,"Strategy, Data collection form",,,,0
budget_cpp_dstb,Budget,"Average cost of drugs budgeted per patient for drug-susceptible TB treatment, excluding buffer stock (US Dollars)",,1,budget data collection form,2015 -,started publishing dcyear 2018,,1
budget_cpp_mdr,Budget,"Average cost of drugs budgeted per patient for MDR-TB treatment, excluding buffer stock (US Dollars)",,1,budget data collection form,2015 -,started publishing dcyear 2018,,1
budget_cpp_tpt,Budget,"Average cost of drugs budgeted per patient for  TB preventive treatment, excluding buffer stock (US Dollars)",,1,budget data collection form,2020 -,started publishing dcyear 2020,,1
budget_cpp_xdr,Budget,"Average cost of drugs budgeted per patient for pre-XDR/XDR-TB treatment, excluding buffer stock (US Dollars)",,1,budget data collection form,2015 -,started publishing dcyear 2018;  added pre-XDR to the wording of the definition dcyear 2021,,1
budget_fld,Budget,Budget required for drugs to treat drug-susceptible TB (US Dollars),,1,budget data collection form,2015 -,started publishing dcyear 2018,,1
