country,iso3,g.whoregion,year.new,source.new,all.areas.covered.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi,year.ret,source.ret,all.areas.covered.ret,surv.quality.ret,dst.rlt.ret,mdr.ret,mdr.ret.pcnt,mdr.ret.pcnt.lo,mdr.ret.pcnt.hi,dr.r.nh.ret,dr.r.nh.ret.pcnt,dr.r.nh.ret.pcnt.lo,dr.r.nh.ret.pcnt.hi,xpert.ret,xpert.dr.r.ret,xpert.dr.r.ret.pcnt,xpert.dr.r.ret.pcnt.lo,xpert.dr.r.ret.pcnt.hi,r.rlt.ret,rr.ret,rr.ret.pcnt,rr.ret.pcnt.lo,rr.ret.pcnt.hi,dst.rlt.hr.ret,dst.rlt.hr.ret.pcnt,dst.rlt.hr.ret.pcnt.lo,dst.rlt.hr.ret.pcnt.hi,dst.rlt.rr.ret,dst.rlt.rr.ret.pcnt,dst.rlt.rr.ret.pcnt.lo,dst.rlt.rr.ret.pcnt.hi,dr.h.nr.ret,dr.h.nr.ret.pcnt,dr.h.nr.ret.pcnt.lo,dr.h.nr.ret.pcnt.hi
Antigua and Barbuda,ATG,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,WPR,2021,Surveillance,1,N,597,7,,,,,,,,,,,,,597,9,,,,47,,,,9,,,,,,,,2019,Surveillance,1,A,31,3,,,,,,,,,,,,,32,3,,,,5,,,,3,,,,,,,
Austria,AUT,EUR,2015,Surveillance,1,A,264,5,,,,1,,,,,,,,,,,,,,,,,,,,,,11,,,,2016,Surveillance,1,R,17,3,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Azerbaijan,AZE,EUR,2021,Surveillance,1,A,1409,113,,,,,,,,,,,,,1409,172,,,,205,,,,172,,,,,,,,2021,Surveillance,1,A,2159,276,,,,,,,,,,,,,2159,487,,,,450,,,,487,,,,,,,
Burundi,BDI,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,Surveillance,1,R,50,50,,,,,,,,,,,,,241,50,,,,50,,,,50,,,,,,,
Belgium,BEL,EUR,2021,Surveillance,1,N,375,3,,,,,,,,,,,,,377,3,,,,19,,,,3,,,,,,,,2015,Surveillance,1,A,34,2,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,
Benin,BEN,AFR,2021,Surveillance,1,A,21,10,,,,,,,,,,,,,2647,29,,,,10,,,,18,,,,,,,,2021,Surveillance,1,A,93,1,,,,,,,,,,,,,205,5,,,,13,,,,3,,,,,,,
Burkina Faso,BFA,AFR,2020,Surveillance,1,N,39,38,,,,,,,,,,,,,3282,39,,,,38,,,,39,,,,,,,,2017,Survey,1,A,,,,,,,,,,141,,14.3,8.5,20.1,,,,,,,,,,,,,,,,,
Bangladesh,BGD,SEA,2019,Survey,1,A,21,,,,,,,,,,,,,,2096,,0.7,0.4,1.2,,,,,,,,,,,,,2021,Surveillance,1,R,0,0,,,,,,,,,,,,,8119,420,,,,0,,,,0,,,,,,,
Bulgaria,BGR,EUR,2018,Surveillance,1,A,464,10,,,,,,,,,,,,,476,12,,,,30,,,,12,,,,,,,,2018,Surveillance,1,A,72,14,,,,,,,,,,,,,75,16,,,,19,,,,16,,,,,,,
Bahrain,BHR,EMR,2021,Surveillance,1,N,112,0,,,,,,,,,,,,,112,1,,,,0,,,,1,,,,,,,,2018,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Bahamas,BHS,AMR,2021,Surveillance,1,N,,,,,,,,,,,,,,,12,0,,,,,,,,,,,,,,,,2020,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Bosnia and Herzegovina,BIH,EUR,2021,Surveillance,1,A,255,,,,,,,,,,,,,,255,1,,,,0,,,,1,,,,,,,,2021,Surveillance,1,A,24,,,,,,,,,,,,,,24,1,,,,0,,,,1,,,,,,,
Belarus,BLR,EUR,2021,Surveillance,1,A,1032,341,,,,,,,,,,,,,1032,390,,,,416,,,,390,,,,,,,,2021,Surveillance,1,A,499,354,,,,,,,,,,,,,499,367,,,,373,,,,367,,,,,,,
Belize,BLZ,AMR,2021,Surveillance,1,N,46,0,,,,,,,,,,,,,46,0,,,,0,,,,0,,,,,,,,2020,Surveillance,1,R,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,
Bermuda,BMU,AMR,2021,Surveillance,1,N,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,,2017,Surveillance,1,A,0,0,,,,,,,,,,,,,0,0,,,,0,,,,0,,,,,,,
Bolivia (Plurinational State of),BOL,AMR,2021,Surveillance,1,N,296,37,,,,,,,,,,,,,5085,92,,,,51,,,,55,,,,,,,,2020,Surveillance,1,A,366,22,,,,,,,,,,,,,366,48,,,,48,,,,48,,,,,,,
Brazil,BRA,AMR,2008,Survey,0,A,3000,,1.4,1,1.8,,0.1,0,0.3,,,,,,,,,,,,,,,,,,,,4.6,3.9,5,2008,Survey,0,A,800,,7.5,5.7,9.9,,0.5,0.1,1.3,,,,,,,,,,,,,,,,,,,,7.8,6,9.8
Barbados,BRB,AMR,2020,Surveillance,1,A,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,,2020,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Brunei Darussalam,BRN,WPR,2021,Surveillance,1,A,162,0,,,,,,,,,,,,,162,0,,,,2,,,,0,,,,,,,,2021,Surveillance,1,A,14,0,,,,,,,,,,,,,14,0,,,,0,,,,0,,,,,,,
Bhutan,BTN,SEA,2021,Surveillance,1,N,385,36,,,,,,,,,,,,,419,44,,,,48,,,,39,,,,,,,,2020,Surveillance,1,A,36,8,,,,,,,,,,,,,55,18,,,,9,,,,12,,,,,,,
Botswana,BWA,AFR,2008,Survey,1,A,924,,2.5,1.5,3.5,,1.1,0.4,1.8,,,,,,,,,,,,,,,,,,,,5.1,3.6,6.4,2008,Survey,1,A,137,,6.6,2.4,10.7,,6.6,2.4,10.7,,,,,,,,,,,,,,,,,,,,3.7,0.5,6.8
Central African Republic,CAF,AFR,2009,Survey,0,A,225,,0.4,0,2.5,,0,0,0,,,,,,,,,,,,,,,,,,,,8.9,5.5,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,2015,Surveillance,1,A,856,7,,,,0,,,,,,,,,,,,,,,,,,,,,,49,,,,2015,Surveillance,1,A,64,4,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Switzerland,CHE,EUR,2018,Surveillance,1,N,261,3,,,,,,,,,,,,,261,3,,,,10,,,,3,,,,,,,,2021,Surveillance,1,R,6,0,,,,,,,,,,,,,7,0,,,,0,,,,0,,,,,,,
Chile,CHL,AMR,2021,Surveillance,1,A,1772,22,,,,,,,,,,,,,1772,38,,,,72,,,,38,,,,,,,,2021,Surveillance,1,A,178,4,,,,,,,,,,,,,179,13,,,,14,,,,13,,,,,,,
China,CHN,WPR,2020,Surveillance,1,A,153360,7337,,,,,,,,,,,,,248587,9406,,,,18908,,,,9406,,,,,,,,2021,Surveillance,1,R,21505,3140,,,,,,,,,,,,,33946,6782,,,,4634,,,,4115,,,,,,,
Côte d'Ivoire,CIV,AFR,2017,Survey,1,A,,,,,,,,,,998,,4.6,2.4,6.8,,,,,,,,,,,,,,,,,,2021,Surveillance,1,R,255,87,,,,,,,,,,,,,1307,255,,,,87,,,,255,,,,,,,
Cameroon,CMR,AFR,2017,Survey,1,A,,,,,,,,,,,,,,,1029,,1.6,0.9,2.5,,,,,,,,,,,,,2021,Surveillance,1,R,15,13,,,,,,,,,,,,,1447,81,,,,13,,,,15,,,,,,,
Democratic Republic of the Congo,COD,AFR,2017,Survey,1,A,1152,,0.9,0.4,1.8,,,,,,,,,,1487,,1.8,1,3.2,,7.2,4.8,10.7,,1.7,0.9,3.3,,6.6,4.4,9.8,2021,Surveillance,1,R,218,167,,,,,,,,,,,,,3016,583,,,,167,,,,218,,,,,,,
Congo,COG,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,Surveillance,1,R,0,0,,,,,,,,,,,,,333,40,,,,0,,,,0,,,,,,,
Cook Islands,COK,WPR,2016,Surveillance,1,A,2,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,,2016,Surveillance,1,A,0,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Colombia,COL,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,Surveillance,1,R,391,50,,,,4,,,,,1,,,,,,,,,,,,,,,,,22,,,
Comoros,COM,AFR,2021,Surveillance,1,A,0,0,,,,,,,,,,,,,68,0,,,,0,,,,0,,,,,,,,2021,Surveillance,1,A,0,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Cabo Verde,CPV,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,Surveillance,1,R,11,0,,,,,,,,,,,,,11,1,,,,0,,,,1,,,,,,,
Costa Rica,CRI,AMR,2019,Surveillance,1,A,315,1,,,,,,,,,,,,,315,1,,,,8,,,,1,,,,,,,,2019,Surveillance,1,A,21,0,,,,,,,,,,,,,21,0,,,,0,,,,0,,,,,,,
Cuba,CUB,AMR,2012,Surveillance,1,A,269,2,,,,4,,,,0,0,,,,,,,,,,,,,,,,,4,,,,2018,Surveillance,1,R,55,11,,,,,,,,,,,,,67,21,,,,13,,,,17,,,,,,,
Curaçao,CUW,AMR,2017,Surveillance,1,A,8,0,,,,,,,,,,,,,8,0,,,,0,,,,0,,,,,,,,2017,Surveillance,1,A,0,0,,,,,,,,,,,,,0,0,,,,0,,,,0,,,,,,,
Cayman Islands,CYM,AMR,2020,Surveillance,1,N,0,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,,2017,Surveillance,1,A,0,0,,,,,,,,,,,,,0,0,,,,0,,,,0,,,,,,,
Cyprus,CYP,EUR,2021,Surveillance,1,A,29,3,,,,,,,,,,,,,29,3,,,,7,,,,3,,,,,,,,2021,Surveillance,1,A,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,
Czechia,CZE,EUR,2021,Surveillance,1,N,239,9,,,,,,,,,,,,,239,9,,,,20,,,,9,,,,,,,,2020,Surveillance,1,A,10,3,,,,,,,,,,,,,10,3,,,,3,,,,3,,,,,,,
Germany,DEU,EUR,2015,Surveillance,1,A,271,6,,,,0,,,,,,,,,,,,,,,,,,,,,,23,,,,2015,Surveillance,1,A,154,32,,,,3,,,,,,,,,,,,,,,,,,,,,,5,,,
Djibouti,DJI,EMR,2015,Survey,1,A,187,,7.5,4.2,12.2,,,,,,,,,,301,,4.7,2.8,7.7,,11.8,7.5,17.3,,11.8,7.5,17.3,,,,,2018,Surveillance,1,R,6,3,,,,,,,,,,,,,93,9,,,,3,,,,3,,,,,,,
Dominica,DMA,AMR,2013,Surveillance,1,A,0,0,,,,0,,,,1,0,,,,,,,,,,,,,,,,,0,,,,2019,Surveillance,1,R,0,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Denmark,DNK,EUR,2021,Surveillance,1,A,113,1,,,,,,,,,,,,,113,1,,,,7,,,,1,,,,,,,,2021,Surveillance,1,A,12,0,,,,,,,,,,,,,12,0,,,,0,,,,0,,,,,,,
Dominican Republic,DOM,AMR,2021,Surveillance,1,A,354,47,,,,,,,,,,,,,1724,125,,,,85,,,,55,,,,,,,,2021,Surveillance,1,A,68,13,,,,,,,,,,,,,273,32,,,,21,,,,16,,,,,,,
Algeria,DZA,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,AMR,2020,Surveillance,1,A,612,38,,,,,,,,,,,,,2900,95,,,,109,,,,46,,,,,,,,2020,Surveillance,1,A,197,49,,,,,,,,,,,,,503,161,,,,70,,,,50,,,,,,,
Egypt,EGY,EMR,2021,Surveillance,1,A,2962,23,,,,,,,,,,,,,2962,75,,,,44,,,,75,,,,,,,,2021,Surveillance,1,A,306,8,,,,,,,,,,,,,306,25,,,,20,,,,25,,,,,,,
Eritrea,ERI,AFR,2021,Surveillance,1,A,0,0,,,,,,,,,,,,,622,23,,,,0,,,,0,,,,,,,,2021,Surveillance,1,A,0,0,,,,,,,,,,,,,76,3,,,,0,,,,0,,,,,,,
Spain,ESP,EUR,2015,Surveillance,1,A,769,30,,,,2,,,,,,,,,,,,,,,,,,,,,,54,,,,2015,Surveillance,1,A,61,10,,,,1,,,,,,,,,,,,,,,,,,,,,,6,,,
Estonia,EST,EUR,2021,Surveillance,1,A,68,14,,,,,,,,,,,,,74,16,,,,19,,,,14,,,,,,,,2021,Surveillance,1,A,13,9,,,,,,,,,,,,,13,9,,,,9,,,,9,,,,,,,
Ethiopia,ETH,AFR,2020,Surveillance,1,N,106,36,,,,,,,,,,,,,41164,548,,,,39,,,,40,,,,,,,,2019,Surveillance,1,R,,339,,,,,,,,,,,,,3243,383,,,,339,,,,383,,,,,,,
Finland,FIN,EUR,2021,Surveillance,1,N,87,2,,,,,,,,,,,,,87,2,,,,7,,,,2,,,,,,,,2017,Surveillance,1,A,3,1,,,,,,,,,,,,,3,2,,,,2,,,,2,,,,,,,
Fiji,FJI,WPR,2021,Surveillance,1,A,0,0,,,,,,,,,,,,,127,4,,,,0,,,,0,,,,,,,,2021,Surveillance,1,A,0,0,,,,,,,,,,,,,5,0,,,,0,,,,0,,,,,,,
France,FRA,EUR,2014,Surveillance,1,A,2511,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,Surveillance,1,A,288,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia (Federated States of),FSM,WPR,2021,Surveillance,1,A,0,0,,,,,,,,,,,,,27,0,,,,0,,,,0,,,,,,,,2021,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Gabon,GAB,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,Surveillance,1,R,118,32,,,,,,,,,,,,,118,32,,,,32,,,,32,,,,,,,
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,2020,Surveillance,1,N,1542,23,,,,,,,,,,,,,1546,31,,,,123,,,,31,,,,,,,,2019,Surveillance,1,A,122,3,,,,,,,,,,,,,123,4,,,,8,,,,4,,,,,,,
Georgia,GEO,EUR,2021,Surveillance,1,A,790,84,,,,,,,,,,,,,953,101,,,,149,,,,88,,,,,,,,2021,Surveillance,1,A,177,62,,,,,,,,,,,,,267,79,,,,83,,,,64,,,,,,,
Ghana,GHA,AFR,2021,Surveillance,1,A,188,22,,,,,,,,,,,,,8532,188,,,,22,,,,188,,,,,,,,2021,Surveillance,1,A,30,12,,,,,,,,,,,,,618,30,,,,12,,,,30,,,,,,,
Guinea,GIN,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,Surveillance,1,R,171,147,,,,,,,,,,,,,338,165,,,,148,,,,165,,,,,,,
Gambia,GMB,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,Surveillance,1,R,0,0,,,,,,,,,,,,,117,9,,,,0,,,,0,,,,,,,
Guinea-Bissau,GNB,AFR,2021,Surveillance,1,N,0,0,,,,,,,,,,,,,1934,33,,,,0,,,,0,,,,,,,,2020,Surveillance,1,R,,,,,,,,,,,,,,,24,13,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,Surveillance,1,R,0,,,,,,,,,,,,,,119,25,,,,,,,,,,,,,,,
Greece,GRC,EUR,2020,Surveillance,1,A,262,4,,,,,,,,,,,,,263,6,,,,15,,,,6,,,,,,,,2020,Surveillance,1,A,16,1,,,,,,,,,,,,,16,1,,,,1,,,,1,,,,,,,
Grenada,GRD,AMR,2019,Surveillance,1,N,0,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,EUR,2018,Surveillance,1,A,,,,,,,,,,,,,,,29,0,,,,,,,,,,,,,,,,2018,Surveillance,1,A,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,
Guatemala,GTM,AMR,2021,Surveillance,1,A,92,9,,,,,,,,,,,,,2022,34,,,,15,,,,13,,,,,,,,2021,Surveillance,1,A,111,6,,,,,,,,,,,,,235,30,,,,55,,,,27,,,,,,,
Guam,GUM,WPR,2021,Surveillance,1,A,35,1,,,,,,,,,,,,,35,1,,,,4,,,,1,,,,,,,,2021,Surveillance,1,A,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,
Guyana,GUY,AMR,2021,Surveillance,1,A,0,0,,,,,,,,,,,,,237,3,,,,0,,,,0,,,,,,,,2021,Surveillance,1,A,0,0,,,,,,,,,,,,,57,3,,,,0,,,,0,,,,,,,
"China, Hong Kong SAR",HKG,WPR,2021,Surveillance,1,A,2180,17,,,,,,,,,,,,,2181,22,,,,113,,,,21,,,,,,,,2021,Surveillance,1,A,156,4,,,,,,,,,,,,,156,6,,,,10,,,,6,,,,,,,
Honduras,HND,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,Surveillance,1,R,26,0,,,,,,,,,,,,,93,7,,,,0,,,,7,,,,,,,
Croatia,HRV,EUR,2018,Surveillance,1,A,224,1,,,,,,,,,,,,,225,1,,,,3,,,,1,,,,,,,,2020,Surveillance,1,R,6,1,,,,,,,,,,,,,6,1,,,,3,,,,1,,,,,,,
Haiti,HTI,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,EUR,2021,Surveillance,1,A,138,5,,,,,,,,,,,,,139,6,,,,15,,,,6,,,,,,,,2021,Surveillance,1,A,23,5,,,,,,,,,,,,,23,5,,,,6,,,,5,,,,,,,
Indonesia,IDN,SEA,2018,Survey,1,A,,,,,,,,,,,,,,,2349,,2.4,1.8,3.3,,,,,,,,,,,,,2021,Surveillance,1,R,1685,1225,,,,,,,,,,,,,15437,3814,,,,1225,,,,1685,,,,,,,
India,IND,SEA,2020,Surveillance,1,A,152900,2764,,,,,,,,,,,,,557456,14453,,,,12757,,,,4427,,,,,,,,2020,Surveillance,1,A,58866,10114,,,,,,,,,,,,,152177,20138,,,,22991,,,,14413,,,,,,,
Ireland,IRL,EUR,2015,Surveillance,1,A,94,1,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,,2021,Surveillance,1,R,4,1,,,,,,,,,,,,,4,2,,,,1,,,,2,,,,,,,
Iran (Islamic Republic of),IRN,EMR,2014,Survey,1,A,1047,,0.8,0.3,1.4,,0.5,0.2,1.1,,,,,,,,,,,,,,,,,,,,2,1.3,3.1,2021,Surveillance,1,R,235,14,,,,,,,,,,,,,263,20,,,,44,,,,20,,,,,,,
Iraq,IRQ,EMR,2013,Survey,1,A,956,,1.1,0.3,1.8,,5,3.9,7.1,,,,,,,,,,,,,,,,,,,,6.7,4.6,9.6,2021,Surveillance,1,R,149,50,,,,,,,,,,,,,149,57,,,,54,,,,57,,,,,,,
Iceland,ISL,EUR,2019,Surveillance,1,N,4,0,,,,,,,,,,,,,4,0,,,,0,,,,0,,,,,,,,2017,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Israel,ISR,EUR,2021,Surveillance,1,A,103,9,,,,,,,,,,,,,103,9,,,,17,,,,9,,,,,,,,2021,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Italy,ITA,EUR,2019,Surveillance,1,N,1706,34,,,,,,,,,,,,,1706,41,,,,141,,,,41,,,,,,,,2015,Surveillance,1,A,112,14,,,,1,,,,,,,,,,,,,,,,,,,,,,7,,,
Jamaica,JAM,AMR,2021,Surveillance,1,N,0,0,,,,,,,,,,,,,44,0,,,,0,,,,0,,,,,,,,2013,Surveillance,1,A,0,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Jordan,JOR,EMR,2020,Surveillance,1,A,,,,,,,,,,,,,,,110,1,,,,,,,,,,,,,,,,2020,Surveillance,1,A,0,0,,,,,,,,,,,,,3,0,,,,0,,,,0,,,,,,,
Japan,JPN,WPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,EUR,2021,Surveillance,1,A,5121,1503,,,,,,,,,,,,,5121,1932,,,,2359,,,,1932,,,,,,,,2021,Surveillance,1,A,2401,762,,,,,,,,,,,,,2401,1011,,,,1123,,,,1011,,,,,,,
Kenya,KEN,AFR,2020,Surveillance,1,A,261,3,,,,,,,,,,,,,32771,285,,,,145,,,,84,,,,,,,,2020,Surveillance,1,A,236,3,,,,,,,,,,,,,3553,165,,,,167,,,,59,,,,,,,
Kyrgyzstan,KGZ,EUR,2021,Surveillance,1,A,1570,402,,,,,,,,,,,,,1932,500,,,,647,,,,500,,,,,,,,2021,Surveillance,1,A,534,283,,,,,,,,,,,,,669,339,,,,341,,,,339,,,,,,,
Cambodia,KHM,WPR,2018,Survey,1,A,,,,,,,,,,,,,,,1619,,1.4,0.8,2.6,,,,,,,,,,,,,2018,Survey,1,A,,,,,,,,,,,,,,,105,,9.8,5.4,17,,,,,,,,,,,,
Kiribati,KIR,WPR,2021,Surveillance,1,N,0,0,,,,,,,,,,,,,177,0,,,,0,,,,0,,,,,,,,2020,Surveillance,1,A,,,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,
Saint Kitts and Nevis,KNA,AMR,2019,Surveillance,1,N,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Korea,KOR,WPR,2021,Surveillance,1,N,9284,183,,,,,,,,,,,,,9284,279,,,,318,,,,279,,,,,,,,2020,Surveillance,1,A,2273,125,,,,,,,,,,,,,2273,196,,,,271,,,,195,,,,,,,
Kuwait,KWT,EMR,2021,Surveillance,1,N,395,5,,,,,,,,,,,,,401,5,,,,22,,,,5,,,,,,,,2017,Surveillance,1,A,0,0,,,,,,,,,,,,,0,0,,,,0,,,,0,,,,,,,
Lao People's Democratic Republic,LAO,WPR,2021,Surveillance,1,A,0,0,,,,,,,,,,,,,3796,13,,,,0,,,,0,,,,,,,,2021,Surveillance,1,A,0,0,,,,,,,,,,,,,239,31,,,,0,,,,0,,,,,,,
Lebanon,LBN,EMR,2021,Surveillance,1,A,228,2,,,,,,,,,,,,,228,3,,,,5,,,,3,,,,,,,,2021,Surveillance,1,A,3,0,,,,,,,,,,,,,3,0,,,,0,,,,0,,,,,,,
