country,iso3,g.whoregion,row.rank.new,year.new,source.new,all.areas.covered.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi
Bahamas,BHS,AMR,6,2010,Surveillance,1,A,21,0,,,,5,,,,,,,,,,,,,,,,,,,,,,0,,,
Bosnia and Herzegovina,BIH,EUR,1,2021,Surveillance,1,A,255,,,,,,,,,,,,,,255,1,,,,0,,,,1,,,,,,,
Bosnia and Herzegovina,BIH,EUR,2,2016,Surveillance,1,A,545,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,5,,,
Bosnia and Herzegovina,BIH,EUR,3,2015,Surveillance,1,A,583,2,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,
Bosnia and Herzegovina,BIH,EUR,4,2013,Surveillance,1,A,643,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,6,,,
Bosnia and Herzegovina,BIH,EUR,5,2012,Surveillance,1,A,724,4,,,,0,,,,0,0,,,,,,,,,,,,,,,,,3,,,
Bosnia and Herzegovina,BIH,EUR,6,2011,Surveillance,1,A,704,1,,,,0,,,,0,0,,,,,,,,,,,,,,,,,1,,,
Bosnia and Herzegovina,BIH,EUR,7,2010,Surveillance,1,A,600,1,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Bosnia and Herzegovina,BIH,EUR,8,2009,Surveillance,1,A,854,0,,,,0,,,,,,,,,,,,,,,,,,,,,,5,,,
Bosnia and Herzegovina,BIH,EUR,9,2007,pre-2010 TME data collection,1,A,1267,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,EUR,10,2006,pre-2010 TME data collection,1,A,993,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,EUR,11,2005,Surveillance,1,A,1035,4,,,,3,,,,,,,,,,,,,,,,,,,,,,4,,,
Bosnia and Herzegovina,BIH,EUR,12,2004,Surveillance,1,A,1048,4,,,,0,,,,,,,,,,,,,,,,,,,,,,3,,,
Bosnia and Herzegovina,BIH,EUR,13,2003,Surveillance,1,A,951,1,,,,4,,,,,,,,,,,,,,,,,,,,,,7,,,
Bosnia and Herzegovina,BIH,EUR,14,2002,Surveillance,1,A,933,2,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
Bosnia and Herzegovina,BIH,EUR,15,2001,Surveillance,1,A,1132,0,,,,5,,,,,,,,,,,,,,,,,,,,,,0,,,
Bosnia and Herzegovina,BIH,EUR,16,2000,Surveillance,1,A,993,1,,,,6,,,,,,,,,,,,,,,,,,,,,,4,,,
Bosnia and Herzegovina,BIH,EUR,17,1999,Surveillance,1,A,1154,3,,,,6,,,,,,,,,,,,,,,,,,,,,,4,,,
Belarus,BLR,EUR,1,2021,Surveillance,1,A,1032,341,,,,,,,,,,,,,1032,390,,,,416,,,,390,,,,,,,
Belarus,BLR,EUR,2,2020,Surveillance,1,A,1015,364,,,,,,,,,,,,,1015,401,,,,422,,,,401,,,,,,,
Belarus,BLR,EUR,3,2019,Surveillance,1,A,1490,503,,,,,,,,,,,,,1490,561,,,,503,,,,561,,,,,,,
Belarus,BLR,EUR,4,2018,Surveillance,1,A,1529,559,,,,,,,,,,,,,1529,559,,,,,,,,559,,,,,,,
Belarus,BLR,EUR,5,2017,Surveillance,1,A,1690,629,,,,,,,,,,,,,1690,649,,,,,,,,649,,,,,,,
Belarus,BLR,EUR,6,2016,Surveillance,1,A,1762,654,,,,2,,,,21,21,,,,,,,,,,,,,,,,,92,,,
Belarus,BLR,EUR,7,2015,Surveillance,1,A,1896,678,,,,9,,,,22,22,,,,,,,,,,,,,,,,,2,,,
Belarus,BLR,EUR,8,2014,Surveillance,1,A,1958,667,,,,5,,,,32,11,,,,,,,,,,,,,,,,,3,,,
Belarus,BLR,EUR,9,2013,Surveillance,1,A,2145,755,,,,25,,,,,,,,,,,,,,,,,,,,,,11,,,
Belarus,BLR,EUR,10,2012,Surveillance,1,A,2164,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,EUR,11,2011,Survey,1,A,934,,32.3,29.7,35,,0.5,0.3,1.2,,,,,,,,,,,,,,,,,,,,8,6.6,9.7
Belarus,BLR,EUR,1001,2010,Survey,0,A,156,,35.3,27.7,42.8,,1.3,0.5,3.1,,,,,,,,,,,,,,,,,,,,12.2,9.3,15.9
Belize,BLZ,AMR,1,2021,Surveillance,1,N,46,0,,,,,,,,,,,,,46,0,,,,0,,,,0,,,,,,,
Bermuda,BMU,AMR,1,2021,Surveillance,1,N,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,
Bermuda,BMU,AMR,2,2019,Surveillance,1,N,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Bermuda,BMU,AMR,3,2018,Surveillance,1,N,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,
Bermuda,BMU,AMR,4,2017,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Bermuda,BMU,AMR,5,2016,Surveillance,1,A,2,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Bermuda,BMU,AMR,6,2012,Surveillance,1,A,2,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Bermuda,BMU,AMR,7,2011,Surveillance,1,A,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Bermuda,BMU,AMR,8,2010,Surveillance,1,A,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Bolivia (Plurinational State of),BOL,AMR,1,2020,Surveillance,1,A,3654,0,,,,,,,,,,,,,3654,51,,,,10,,,,51,,,,,,,
Bolivia (Plurinational State of),BOL,AMR,2,1996,Survey,1,A,498,,1.2,0.44,2.6,,4.82,3.11,7.09,,,,,,,,,,,,,,,,,,,,9.04,6.67,11.9
Brazil,BRA,AMR,1001,2008,Survey,0,A,3000,,1.4,1,1.8,,0.1,0,0.3,,,,,,,,,,,,,,,,,,,,4.6,3.9,5
Brazil,BRA,AMR,1002,1996,Survey,0,A,2095,,0.91,0.55,1.42,,0.19,0.05,0.49,,,,,,,,,,,,,,,,,,,,5.01,4.1,6.07
Barbados,BRB,AMR,1,2020,Surveillance,1,A,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,
Barbados,BRB,AMR,2,2014,Surveillance,1,A,3,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Brunei Darussalam,BRN,WPR,1,2021,Surveillance,1,A,162,0,,,,,,,,,,,,,162,0,,,,2,,,,0,,,,,,,
Brunei Darussalam,BRN,WPR,2,2020,Surveillance,1,A,229,0,,,,,,,,,,,,,229,0,,,,0,,,,0,,,,,,,
Brunei Darussalam,BRN,WPR,3,2019,Surveillance,1,A,194,0,,,,,,,,,,,,,194,1,,,,4,,,,1,,,,,,,
Brunei Darussalam,BRN,WPR,4,2018,Surveillance,1,A,197,0,,,,,,,,,,,,,197,0,,,,2,,,,0,,,,,,,
Brunei Darussalam,BRN,WPR,5,2017,Surveillance,1,A,170,0,,,,,,,,,,,,,170,0,,,,4,,,,0,,,,,,,
Brunei Darussalam,BRN,WPR,6,2016,Surveillance,1,A,162,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,11,,,
Brunei Darussalam,BRN,WPR,7,2015,Surveillance,1,A,162,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,6,,,
Brunei Darussalam,BRN,WPR,8,2014,Surveillance,1,A,113,1,,,,0,,,,0,0,,,,,,,,,,,,,,,,,2,,,
Brunei Darussalam,BRN,WPR,9,2013,Surveillance,1,A,146,1,,,,0,,,,0,0,,,,,,,,,,,,,,,,,3,,,
Brunei Darussalam,BRN,WPR,10,2012,Surveillance,1,A,166,0,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
Brunei Darussalam,BRN,WPR,11,2011,Surveillance,1,A,205,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,4,,,
Brunei Darussalam,BRN,WPR,12,2010,Surveillance,1,A,181,0,,,,0,,,,,,,,,,,,,,,,,,,,,,5,,,
Brunei Darussalam,BRN,WPR,13,2009,Surveillance,1,A,164,0,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,
Bhutan,BTN,SEA,1,2021,Surveillance,1,N,385,36,,,,,,,,,,,,,419,44,,,,48,,,,39,,,,,,,
Bhutan,BTN,SEA,2,2020,Surveillance,1,A,362,42,,,,,,,,,,,,,434,74,,,,55,,,,63,,,,,,,
Bhutan,BTN,SEA,3,2019,Surveillance,1,A,424,60,,,,,,,,,,,,,476,73,,,,87,,,,69,,,,,,,
Bhutan,BTN,SEA,4,2018,Surveillance,1,N,349,46,,,,,,,,,,,,,349,42,,,,75,,,,52,,,,,,,
Bhutan,BTN,SEA,5,2017,Surveillance,1,A,376,47,,,,,,,,,,,,,376,50,,,,68,,,,50,,,,,,,
Bhutan,BTN,SEA,6,2016,Surveillance,1,A,340,40,,,,4,,,,70,3,,,,,,,,,,,,,,,,,44,,,
Botswana,BWA,AFR,1,2008,Survey,1,A,924,,2.5,1.5,3.5,,1.1,0.4,1.8,,,,,,,,,,,,,,,,,,,,5.1,3.6,6.4
Botswana,BWA,AFR,2,2002,Survey,1,A,1182,,0.85,0.41,1.56,,1.18,0.65,1.99,,,,,,,,,,,,,,,,,,,,3.64,2.63,4.9
Botswana,BWA,AFR,3,1999,Survey,1,A,638,,0.47,0.1,1.37,,0.16,0,0.87,,,,,,,,,,,,,,,,,,,,3.92,2.54,5.78
Botswana,BWA,AFR,4,1996,Survey,1,A,407,,0.25,0.01,1.36,,0.74,0.15,2.14,,,,,,,,,,,,,,,,,,,,1.23,0.4,2.84
Central African Republic,CAF,AFR,1001,2009,Survey,0,A,225,,0.4,0,2.5,,0,0,0,,,,,,,,,,,,,,,,,,,,8.9,5.5,13.4
Central African Republic,CAF,AFR,1002,1998,Survey,0,A,464,,1.08,0.35,2.5,,0.22,0.01,1.19,,,,,,,,,,,,,,,,,,,,8.41,6.05,11.31
Canada,CAN,AMR,1,2015,Surveillance,1,A,856,7,,,,0,,,,,,,,,,,,,,,,,,,,,,49,,,
Canada,CAN,AMR,2,2014,Surveillance,1,A,863,10,,,,2,,,,0,0,,,,,,,,,,,,,,,,,49,,,
Canada,CAN,AMR,3,2013,Surveillance,1,A,883,12,,,,1,,,,0,0,,,,,,,,,,,,,,,,,50,,,
Canada,CAN,AMR,4,2012,Surveillance,1,A,1244,7,,,,0,,,,0,0,,,,,,,,,,,,,,,,,91,,,
Canada,CAN,AMR,5,2010,Surveillance,1,A,987,15,,,,0,,,,,,,,,,,,,,,,,,,,,,66,,,
Canada,CAN,AMR,6,2009,Surveillance,1,A,1321,13,,,,2,,,,,,,,,,,,,,,,,,,,,,98,,,
Canada,CAN,AMR,7,2008,Surveillance,1,A,1098,9,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,
Canada,CAN,AMR,8,2007,pre-2010 TME data collection,1,A,1113,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,9,2006,Surveillance,1,A,1058,8,,,,4,,,,,,,,,,,,,,,,,,,,,,59,,,
Canada,CAN,AMR,10,2005,Surveillance,1,A,1130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,11,2004,Surveillance,1,A,1154,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,12,2003,Surveillance,1,A,1153,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,13,2002,Surveillance,1,A,1172,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,14,2001,Surveillance,1,A,1262,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,15,2000,Surveillance,1,A,1162,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,16,1999,Surveillance,1,A,1268,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,17,1998,Surveillance,1,A,1206,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,18,1997,Surveillance,1,A,1366,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,19,1996,Surveillance,1,A,1203,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,20,1995,Surveillance,1,A,1242,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,21,1994,Surveillance,1,A,1325,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
